Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201111,November 2011,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5365279000,,,0
HS,2011,201104,April 2011,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5095919000,,,0
HS,2011,201107,July 2011,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5787733000,,,0
HS,2012,201202,February 2012,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5101669000,,,0
HS,2013,201302,February 2013,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5932573000,,,0
HS,2013,201302,February 2013,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5890046000,,,0
HS,2013,201301,January 2013,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5301012000,,,0
HS,2013,201310,October 2013,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6120771000,,,0
HS,2014,201407,July 2014,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5877249000,,,0
HS,2014,201408,August 2014,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4557458000,,,0
HS,2014,201411,November 2014,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5916700000,,,0
HS,2015,201501,January 2015,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5489431000,,,0
HS,2017,201704,April 2017,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4542599000,,,0
HS,2015,201506,June 2015,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5399948000,,,0
HS,2015,201508,August 2015,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4401178000,,,0
HS,2016,201609,September 2016,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5622206000,,,0
HS,2016,201612,December 2016,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5399141000,,,0
HS,2017,201701,January 2017,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5507633000,,,0
HS,2019,201905,May 2019,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4935140000,,,0
HS,2017,201708,August 2017,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4711685000,,,0
HS,2017,201710,October 2017,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6340296000,,,0
HS,2017,201703,March 2017,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6002877000,,,0
HS,2017,201711,November 2017,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5439469000,,,0
HS,2017,201709,September 2017,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5330309000,,,0
HS,2017,201704,April 2017,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5117913000,,,0
HS,2018,201805,May 2018,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5335769000,,,0
HS,2018,201810,October 2018,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5204606000,,,0
HS,2018,201807,July 2018,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7134394000,,,0
HS,2019,201904,April 2019,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6304229000,,,0
HS,2019,201903,March 2019,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6435901000,,,0
HS,2021,202109,September 2021,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6449619000,,,0
HS,2021,202108,August 2021,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4806264000,,,0
HS,2010,201003,March 2010,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5181810000,,,0
HS,2010,201010,October 2010,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5801387000,,,0
HS,2010,201004,April 2010,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4575142000,,,0
HS,2010,201003,March 2010,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5798070000,,,0
HS,2011,201103,March 2011,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6838730000,,,0
HS,2010,201008,August 2010,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5278907000,,,0
HS,2010,201008,August 2010,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4429992000,,,0
HS,2010,201009,September 2010,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4209945000,,,0
HS,2010,201001,January 2010,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4537338000,,,0
HS,2010,201009,September 2010,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4546725000,,,0
HS,2010,201001,January 2010,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4578726000,,,0
HS,2010,201004,April 2010,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4502566000,,,0
HS,2010,201002,February 2010,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4265973000,,,0
HS,2010,201005,May 2010,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4847324000,,,0
HS,2010,201002,February 2010,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4167969000,,,0
HS,2010,201006,June 2010,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4960825000,,,0
HS,2010,201005,May 2010,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4808779000,,,0
HS,2010,201006,June 2010,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5550321000,,,0
HS,2010,201007,July 2010,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4881968000,,,0
HS,2010,201007,July 2010,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4983462000,,,0
HS,2010,201012,December 2010,0,0,1,Imports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5689210000,,,0
HS,2010,201012,December 2010,0,0,2,Exports,376,Israel,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5284286000,,,0
