Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201012,December 2010,0,0,1,Imports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43372704219,,,0
HS,2010,201001,January 2010,0,0,1,Imports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35603701957,,,0
HS,2010,201004,April 2010,0,0,2,Exports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37029895969,,,0
HS,2010,201009,September 2010,0,0,1,Imports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42748023122,,,0
HS,2011,201106,June 2011,0,0,2,Exports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,47038169036,,,0
HS,2010,201007,July 2010,0,0,1,Imports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40008198537,,,0
HS,2011,201109,September 2011,0,0,2,Exports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45429452395,,,0
HS,2011,201112,December 2011,0,0,1,Imports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40061510995,,,0
HS,2011,201112,December 2011,0,0,2,Exports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41575157337,,,0
HS,2012,201201,January 2012,0,0,1,Imports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40800921149,,,0
HS,2012,201201,January 2012,0,0,2,Exports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35192844415,,,0
HS,2012,201202,February 2012,0,0,1,Imports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43492701473,,,0
HS,2012,201203,March 2012,0,0,1,Imports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,44934406420,,,0
HS,2012,201206,June 2012,0,0,2,Exports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43070736728,,,0
HS,2012,201207,July 2012,0,0,2,Exports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45184304946,,,0
HS,2012,201210,October 2012,0,0,1,Imports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43560240471,,,0
HS,2012,201210,October 2012,0,0,2,Exports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,46700786903,,,0
HS,2012,201212,December 2012,0,0,1,Imports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37133434087,,,0
HS,2012,201212,December 2012,0,0,2,Exports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39910461556,,,0
HS,2013,201304,April 2013,0,0,2,Exports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41508867927,,,0
HS,2013,201306,June 2013,0,0,2,Exports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,44081403552,,,0
HS,2013,201307,July 2013,0,0,1,Imports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42060030538,,,0
HS,2013,201308,August 2013,0,0,1,Imports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31501257677,,,0
HS,2013,201308,August 2013,0,0,2,Exports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32929585761,,,0
HS,2014,201401,January 2014,0,0,4,Re-imports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,431626137,,,0
HS,2014,201402,February 2014,0,0,4,Re-imports,381,Italy,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,470107165,,,0
