Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201105,May 2011,0,0,2,Exports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,58581515324,,,0
HS,2011,201109,September 2011,0,0,1,Imports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,73847181889,,,0
HS,2011,201109,September 2011,0,0,2,Exports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,77697311003,,,0
HS,2011,201108,August 2011,0,0,1,Imports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,79432726874,,,0
HS,2011,201108,August 2011,0,0,2,Exports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,69367411648,,,0
HS,2011,201112,December 2011,0,0,2,Exports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,72235677201,,,0
HS,2011,201112,December 2011,0,0,1,Imports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,74876024433,,,0
HS,2010,201011,November 2010,0,0,1,Imports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,64026339746,,,0
HS,2011,201110,October 2011,0,0,1,Imports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,75389631699,,,0
HS,2010,201008,August 2010,0,0,2,Exports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,60929958687,,,0
HS,2010,201002,February 2010,0,0,1,Imports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,49627780281,,,0
HS,2011,201107,July 2011,0,0,2,Exports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,70248591454,,,0
HS,2012,201201,January 2012,0,0,1,Imports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,77839198354,,,0
HS,2012,201201,January 2012,0,0,2,Exports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,58593902841,,,0
HS,2012,201202,February 2012,0,0,1,Imports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,69050568754,,,0
HS,2012,201203,March 2012,0,0,1,Imports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,76312838873,,,0
HS,2012,201203,March 2012,0,0,2,Exports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,75256253496,,,0
HS,2012,201205,May 2012,0,0,1,Imports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,77154270470,,,0
HS,2012,201205,May 2012,0,0,2,Exports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,65648206454,,,0
HS,2012,201206,June 2012,0,0,1,Imports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,70394881483,,,0
HS,2012,201206,June 2012,0,0,2,Exports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,71140737330,,,0
HS,2012,201207,July 2012,0,0,1,Imports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,73885046219,,,0
HS,2012,201207,July 2012,0,0,2,Exports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,67269005573,,,0
HS,2012,201208,August 2012,0,0,1,Imports,392,Japan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,73847244177,,,0
