Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,2,Exports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,545387269,,,0
HS,2010,201001,January 2010,0,0,3,Re-exports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,89196232,,,0
HS,2010,201005,May 2010,0,0,1,Imports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1187050587,,,0
HS,2010,201009,September 2010,0,0,3,Re-exports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,89677712,,,0
HS,2010,201012,December 2010,0,0,2,Exports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,700624412,,,0
HS,2011,201101,January 2011,0,0,1,Imports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1435951032,,,0
HS,2011,201101,January 2011,0,0,2,Exports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,646921499,,,0
HS,2011,201101,January 2011,0,0,3,Re-exports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,105823625,,,0
HS,2011,201102,February 2011,0,0,1,Imports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1256944751,,,0
HS,2011,201102,February 2011,0,0,3,Re-exports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,86207969,,,0
HS,2011,201103,March 2011,0,0,1,Imports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1595384085,,,0
HS,2011,201103,March 2011,0,0,2,Exports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,654638759,,,0
HS,2011,201103,March 2011,0,0,3,Re-exports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,101751727,,,0
HS,2011,201104,April 2011,0,0,1,Imports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1573209388,,,0
HS,2011,201104,April 2011,0,0,2,Exports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,644950276,,,0
HS,2011,201104,April 2011,0,0,3,Re-exports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,94167893,,,0
HS,2011,201105,May 2011,0,0,1,Imports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1536268143,,,0
HS,2011,201105,May 2011,0,0,2,Exports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,729553390,,,0
HS,2011,201105,May 2011,0,0,3,Re-exports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,115270376,,,0
HS,2011,201106,June 2011,0,0,1,Imports,400,Jordan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1564828167,,,0
