Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201107,July 2011,0,0,1,Imports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2870163600,,,0
HS,2010,201002,February 2010,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4240323251,,,0
HS,2010,201001,January 2010,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4255666641,,,0
HS,2010,201012,December 2010,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6938772917,,,0
HS,2011,201102,February 2011,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6478824017,,,0
HS,2011,201103,March 2011,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6230353984,,,0
HS,2012,201204,April 2012,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7658077900,,,0
HS,2012,201205,May 2012,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8859352700,,,0
HS,2012,201208,August 2012,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7941925490,,,0
HS,2012,201211,November 2012,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7505007720,,,0
HS,2014,201401,January 2014,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7908220668,,,0
HS,2014,201402,February 2014,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7843798126,,,0
HS,2014,201405,May 2014,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6367701811,,,0
HS,2014,201406,June 2014,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6393695288,,,0
HS,2014,201409,September 2014,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6928556071,,,0
HS,2014,201411,November 2014,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5348755454,,,0
HS,2017,201707,July 2017,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3827712496,,,0
HS,2015,201501,January 2015,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4803419792,,,0
HS,2015,201502,February 2015,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3762973009,,,0
HS,2015,201506,June 2015,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4357524183,,,0
HS,2015,201507,July 2015,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3937888397,,,0
HS,2015,201509,September 2015,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3744061798,,,0
HS,2015,201510,October 2015,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3301491992,,,0
HS,2015,201512,December 2015,0,0,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3891140202,,,0
HS,2013,201306,June 2013,0,0,1,Imports,398,Kazakhstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4299090333,,,0
