Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,938771659,,,0
HS,2010,201001,January 2010,0,0,2,Exports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,403799699,,,0
HS,2010,201002,February 2010,0,0,1,Imports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,785551960,,,0
HS,2010,201003,March 2010,0,0,1,Imports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,977733594,,,0
HS,2011,201101,January 2011,0,0,1,Imports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1116603736,,,0
HS,2011,201102,February 2011,0,0,2,Exports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,476038762,,,0
HS,2011,201103,March 2011,0,0,2,Exports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,521065619,,,0
HS,2011,201104,April 2011,0,0,2,Exports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,469851991,,,0
HS,2011,201105,May 2011,0,0,2,Exports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,477268928,,,0
HS,2017,201702,February 2017,0,0,2,Exports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,462854326,,,0
HS,2017,201702,February 2017,0,0,3,Re-exports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,39673816,,,0
HS,2018,201802,February 2018,0,0,3,Re-exports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,77648219,,,0
HS,2018,201804,April 2018,0,0,3,Re-exports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,68672973,,,0
HS,2018,201807,July 2018,0,0,3,Re-exports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,64503515,,,0
HS,2020,202001,January 2020,0,0,1,Imports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1537531681,,,0
HS,2020,202003,March 2020,0,0,1,Imports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1326011705,,,0
HS,2020,202005,May 2020,0,0,1,Imports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1024132072,,,0
HS,2020,202007,July 2020,0,0,1,Imports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1302948450,,,0
HS,2020,202010,October 2020,0,0,1,Imports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1335174671,,,0
HS,2020,202011,November 2020,0,0,1,Imports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1272699224,,,0
HS,2020,202012,December 2020,0,0,1,Imports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1459900027,,,0
HS,2021,202102,February 2021,0,0,1,Imports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1454761298,,,0
HS,2021,202102,February 2021,0,0,2,Exports,404,Kenya,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,614581175,,,0
