Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201701,January 2017,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7574014,,,0
HS,2017,201701,January 2017,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,448118,,,0
HS,2017,201702,February 2017,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6942424,,,0
HS,2017,201702,February 2017,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1069858,,,0
HS,2017,201703,March 2017,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10302096,,,0
HS,2017,201703,March 2017,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3284971,,,0
HS,2017,201704,April 2017,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7567818,,,0
HS,2017,201704,April 2017,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1423224,,,0
HS,2017,201706,June 2017,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,8962924,,,0
HS,2017,201706,June 2017,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,443473,,,0
HS,2017,201707,July 2017,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11876007,,,0
HS,2017,201707,July 2017,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1985096,,,0
HS,2017,201705,May 2017,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8227406,,,0
HS,2017,201705,May 2017,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1802103,,,0
HS,2017,201712,December 2017,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,8666491,,,0
HS,2017,201712,December 2017,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,140506,,,0
HS,2017,201708,August 2017,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8606557,,,0
HS,2017,201708,August 2017,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,129060,,,0
HS,2017,201710,October 2017,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11558086,,,0
HS,2017,201710,October 2017,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1096586,,,0
HS,2017,201709,September 2017,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7959096,,,0
HS,2017,201709,September 2017,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2088829,,,0
HS,2017,201711,November 2017,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9708982,,,0
HS,2017,201711,November 2017,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1340094,,,0
HS,2018,201802,February 2018,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8064218,,,0
HS,2018,201802,February 2018,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1630129,,,0
HS,2018,201803,March 2018,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13353275,,,0
HS,2018,201803,March 2018,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,483288,,,0
HS,2018,201801,January 2018,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9178023,,,0
HS,2018,201801,January 2018,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,516479,,,0
HS,2020,202006,June 2020,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,8159130,,,0
HS,2020,202006,June 2020,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1072873,,,0
HS,2020,202004,April 2020,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4630229,,,0
HS,2020,202004,April 2020,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,267667,,,0
HS,2020,202005,May 2020,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10672851,,,0
HS,2020,202005,May 2020,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,767751,,,0
HS,2020,202002,February 2020,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9155852,,,0
HS,2020,202002,February 2020,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1602753,,,0
HS,2018,201806,June 2018,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7983196,,,0
HS,2018,201806,June 2018,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,683400,,,0
HS,2018,201808,August 2018,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9331946,,,0
HS,2018,201808,August 2018,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,925942,,,0
HS,2018,201809,September 2018,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8945735,,,0
HS,2018,201809,September 2018,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,632603,,,0
HS,2018,201807,July 2018,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,8674122,,,0
HS,2018,201807,July 2018,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,466861,,,0
HS,2018,201810,October 2018,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6906019,,,0
HS,2018,201810,October 2018,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,243783,,,0
HS,2018,201805,May 2018,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10941452,,,0
HS,2018,201805,May 2018,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1113149,,,0
HS,2018,201804,April 2018,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6951449,,,0
HS,2018,201804,April 2018,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1064636,,,0
HS,2020,202007,July 2020,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13399531,,,0
HS,2020,202007,July 2020,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,525791,,,0
HS,2020,202001,January 2020,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9569854,,,0
HS,2020,202001,January 2020,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2506204,,,0
HS,2020,202003,March 2020,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5899014,,,0
HS,2020,202003,March 2020,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,94518,,,0
HS,2018,201811,November 2018,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10013681,,,0
HS,2018,201811,November 2018,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,216677,,,0
HS,2018,201812,December 2018,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2712138,,,0
HS,2018,201812,December 2018,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,306435,,,0
HS,2020,202012,December 2020,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11883270,,,0
HS,2020,202012,December 2020,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,649678,,,0
HS,2020,202009,September 2020,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,8158597,,,0
HS,2020,202009,September 2020,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,467559,,,0
HS,2020,202010,October 2020,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10560806,,,0
HS,2020,202010,October 2020,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,57791,,,0
HS,2020,202011,November 2020,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7491794,,,0
HS,2020,202011,November 2020,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1073591,,,0
HS,2020,202008,August 2020,0,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10321308,,,0
HS,2020,202008,August 2020,0,0,2,Exports,296,Kiribati,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,210470,,,0
