Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201507,July 2015,0,0,2,Exports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4496434482,,,0
HS,2016,201607,July 2016,0,0,4,Re-imports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3455,,,0
HS,2016,201611,November 2016,0,0,3,Re-exports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,154939682,,,0
HS,2016,201612,December 2016,0,0,4,Re-imports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11469,,,0
HS,2017,201708,August 2017,0,0,1,Imports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2758589955,,,0
HS,2017,201708,August 2017,0,0,2,Exports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4645287662,,,0
HS,2017,201708,August 2017,0,0,3,Re-exports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,218392880,,,0
HS,2015,201501,January 2015,0,0,1,Imports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2387030900,,,0
HS,2015,201501,January 2015,0,0,2,Exports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4613876046,,,0
HS,2015,201501,January 2015,0,0,3,Re-exports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,144300498,,,0
HS,2015,201502,February 2015,0,0,1,Imports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2372106362,,,0
HS,2015,201502,February 2015,0,0,2,Exports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4564241264,,,0
HS,2015,201502,February 2015,0,0,3,Re-exports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,125782709,,,0
HS,2015,201503,March 2015,0,0,1,Imports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3004549533,,,0
HS,2015,201503,March 2015,0,0,2,Exports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4907523322,,,0
HS,2015,201504,April 2015,0,0,1,Imports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2804987760,,,0
HS,2015,201504,April 2015,0,0,2,Exports,414,Kuwait,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4530756725,,,0
