Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201101,January 2011,0,0,2,Exports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,186201173,,,0
HS,2011,201101,January 2011,0,0,3,Re-exports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2729164,,,0
HS,2011,201103,March 2011,0,0,2,Exports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,237974797,,,0
HS,2011,201109,September 2011,0,0,2,Exports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,183188218,,,0
HS,2011,201109,September 2011,0,0,3,Re-exports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14757078,,,0
HS,2011,201110,October 2011,0,0,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,387437723,,,0
HS,2011,201110,October 2011,0,0,2,Exports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,185672449,,,0
HS,2011,201111,November 2011,0,0,3,Re-exports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18523062,,,0
HS,2011,201112,December 2011,0,0,2,Exports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,184329170,,,0
HS,2011,201112,December 2011,0,0,3,Re-exports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23280297,,,0
HS,2012,201201,January 2012,0,0,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,344531945,,,0
HS,2012,201202,February 2012,0,0,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,697890414,,,0
HS,2012,201202,February 2012,0,0,2,Exports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,223289931,,,0
HS,2012,201202,February 2012,0,0,3,Re-exports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19878428,,,0
HS,2012,201203,March 2012,0,0,3,Re-exports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,90221260,,,0
HS,2013,201302,February 2013,0,0,2,Exports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,178688311,,,0
HS,2014,201403,March 2014,0,0,2,Exports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,351788480,,,0
HS,2014,201406,June 2014,0,0,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2396495930,,,0
HS,2015,201503,March 2015,0,0,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,327718862,,,0
HS,2015,201506,June 2015,0,0,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,346125483,,,0
HS,2015,201507,July 2015,0,0,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,356133936,,,0
HS,2015,201509,September 2015,0,0,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,381244785,,,0
HS,2015,201509,September 2015,0,0,2,Exports,417,Kyrgyzstan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,112444758,,,0
