Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201112,December 2011,0,0,2,Exports,428,Latvia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,934545856,,,0
HS,2010,201005,May 2010,0,0,2,Exports,428,Latvia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,678925531,,,0
HS,2010,201012,December 2010,0,0,2,Exports,428,Latvia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,824347989,,,0
HS,2011,201110,October 2011,0,0,1,Imports,428,Latvia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1451477024,,,0
HS,2011,201104,April 2011,0,0,2,Exports,428,Latvia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,999120240,,,0
HS,2010,201003,March 2010,0,0,2,Exports,428,Latvia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,701545207,,,0
HS,2011,201106,June 2011,0,0,2,Exports,428,Latvia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1003840220,,,0
HS,2011,201101,January 2011,0,0,1,Imports,428,Latvia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,923151982,,,0
HS,2010,201008,August 2010,0,0,1,Imports,428,Latvia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1000128834,,,0
HS,2010,201008,August 2010,0,0,2,Exports,428,Latvia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,773760386,,,0
HS,2010,201001,January 2010,0,0,1,Imports,428,Latvia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,703964911,,,0
HS,2010,201001,January 2010,0,0,2,Exports,428,Latvia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,543739670,,,0
