Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201103,March 2011,0,0,1,Imports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2653073681,,,0
HS,2011,201103,March 2011,0,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2296360499,,,0
HS,2011,201107,July 2011,0,0,1,Imports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2645758656,,,0
HS,2011,201107,July 2011,0,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2369838480,,,0
HS,2011,201110,October 2011,0,0,1,Imports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2754124739,,,0
HS,2011,201102,February 2011,0,0,1,Imports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2323396810,,,0
HS,2011,201102,February 2011,0,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2040626603,,,0
HS,2011,201105,May 2011,0,0,1,Imports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2870431032,,,0
HS,2011,201101,January 2011,0,0,1,Imports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2218567316,,,0
HS,2011,201101,January 2011,0,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1915916767,,,0
HS,2011,201108,August 2011,0,0,1,Imports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2824497767,,,0
HS,2011,201108,August 2011,0,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2502932934,,,0
HS,2011,201106,June 2011,0,0,1,Imports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2799442783,,,0
HS,2011,201106,June 2011,0,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2529397998,,,0
HS,2011,201104,April 2011,0,0,1,Imports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2624439851,,,0
HS,2011,201104,April 2011,0,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2170168170,,,0
HS,2011,201109,September 2011,0,0,1,Imports,440,Lithuania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2844580249,,,0
