Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2000,200008,August 2000,0,0,1,Imports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,76904868,,,0
HS,2000,200008,August 2000,0,0,2,Exports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,47623119,,,0
HS,2011,201104,April 2011,0,0,2,Exports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,110666429,,,0
HS,2011,201104,April 2011,0,0,3,Re-exports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3252111,,,0
HS,2010,201012,December 2010,0,0,1,Imports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,223426193,,,0
HS,2010,201012,December 2010,0,0,2,Exports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,99980082,,,0
HS,2001,200101,January 2001,0,0,1,Imports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,79064439,,,0
HS,2001,200101,January 2001,0,0,2,Exports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,114372462,,,0
HS,2010,201004,April 2010,0,0,1,Imports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,181523566,,,0
HS,2010,201004,April 2010,0,0,2,Exports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,81215792,,,0
HS,2010,201004,April 2010,0,0,3,Re-exports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12762683,,,0
HS,2010,201009,September 2010,0,0,1,Imports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,244209822,,,0
HS,2010,201010,October 2010,0,0,1,Imports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,211736811,,,0
HS,2010,201010,October 2010,0,0,3,Re-exports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12258560,,,0
HS,2010,201003,March 2010,0,0,1,Imports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,198445632,,,0
HS,2010,201011,November 2010,0,0,1,Imports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,202913076,,,0
HS,2011,201109,September 2011,0,0,3,Re-exports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9671157,,,0
HS,2011,201108,August 2011,0,0,1,Imports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,253349738,,,0
HS,2011,201108,August 2011,0,0,3,Re-exports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6793488,,,0
HS,2010,201002,February 2010,0,0,1,Imports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,220506474,,,0
HS,2010,201002,February 2010,0,0,2,Exports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,79233054,,,0
HS,2010,201001,January 2010,0,0,1,Imports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,260043303,,,0
HS,2010,201001,January 2010,0,0,2,Exports,450,Madagascar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,52594798,,,0
