Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201602,February 2016,0,0,3,Re-exports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1268013,,,0
HS,2016,201602,February 2016,0,0,4,Re-imports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,734319,,,0
HS,2016,201604,April 2016,0,0,1,Imports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,102455588,,,0
HS,2016,201605,May 2016,0,0,1,Imports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,141869779,,,0
HS,2016,201605,May 2016,0,0,3,Re-exports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,222725,,,0
HS,2016,201605,May 2016,0,0,4,Re-imports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,83039,,,0
HS,2016,201606,June 2016,0,0,3,Re-exports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3482722,,,0
HS,2016,201607,July 2016,0,0,1,Imports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,261812856,,,0
HS,2016,201608,August 2016,0,0,1,Imports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,209403073,,,0
HS,2016,201601,January 2016,0,0,1,Imports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,121045910,,,0
HS,2016,201601,January 2016,0,0,2,Exports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,87095896,,,0
HS,2016,201601,January 2016,0,0,3,Re-exports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,755712,,,0
HS,2016,201601,January 2016,0,0,4,Re-imports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,99811,,,0
HS,2016,201602,February 2016,0,0,1,Imports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,140905769,,,0
HS,2016,201602,February 2016,0,0,2,Exports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,86791149,,,0
HS,2016,201603,March 2016,0,0,1,Imports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,136463873,,,0
HS,2016,201603,March 2016,0,0,2,Exports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,54045637,,,0
HS,2016,201603,March 2016,0,0,3,Re-exports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,303714,,,0
HS,2016,201603,March 2016,0,0,4,Re-imports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,184584,,,0
HS,2016,201604,April 2016,0,0,2,Exports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,87786190,,,0
HS,2016,201604,April 2016,0,0,3,Re-exports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36843,,,0
HS,2016,201604,April 2016,0,0,4,Re-imports,454,Malawi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,147076,,,0
