Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201102,February 2011,0,0,1,Imports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,305329024,,,0
HS,2011,201103,March 2011,0,0,1,Imports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,340768008,,,0
HS,2011,201105,May 2011,0,0,1,Imports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,386155494,,,0
HS,2011,201106,June 2011,0,0,1,Imports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,279338804,,,0
HS,2011,201106,June 2011,0,0,3,Re-exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10283233,,,0
HS,2011,201108,August 2011,0,0,2,Exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,209778388,,,0
HS,2012,201201,January 2012,0,0,1,Imports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,393450628,,,0
HS,2012,201203,March 2012,0,0,1,Imports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,251779879,,,0
HS,2012,201208,August 2012,0,0,3,Re-exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10540390,,,0
HS,2012,201209,September 2012,0,0,1,Imports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,327416742,,,0
HS,2012,201209,September 2012,0,0,3,Re-exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14697914,,,0
HS,2012,201210,October 2012,0,0,2,Exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,224478026,,,0
HS,2012,201212,December 2012,0,0,1,Imports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,396004019,,,0
HS,2011,201101,January 2011,0,0,1,Imports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,304027604,,,0
HS,2011,201101,January 2011,0,0,2,Exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,160213844,,,0
HS,2011,201101,January 2011,0,0,3,Re-exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12921462,,,0
HS,2011,201102,February 2011,0,0,2,Exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,200716810,,,0
HS,2011,201102,February 2011,0,0,3,Re-exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8734287,,,0
HS,2011,201103,March 2011,0,0,2,Exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,193054976,,,0
HS,2011,201103,March 2011,0,0,3,Re-exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6477623,,,0
HS,2011,201104,April 2011,0,0,1,Imports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,381579522,,,0
HS,2011,201104,April 2011,0,0,2,Exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,216272098,,,0
HS,2011,201104,April 2011,0,0,3,Re-exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15525864,,,0
HS,2011,201105,May 2011,0,0,2,Exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,280858066,,,0
HS,2011,201105,May 2011,0,0,3,Re-exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18134204,,,0
HS,2011,201106,June 2011,0,0,2,Exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,169273686,,,0
HS,2011,201107,July 2011,0,0,1,Imports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,404217058,,,0
HS,2011,201107,July 2011,0,0,2,Exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,188830985,,,0
HS,2011,201107,July 2011,0,0,3,Re-exports,466,Mali,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16205299,,,0
