Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201003,March 2010,0,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,343852914,,,0
HS,2010,201008,August 2010,0,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,368359214,,,0
HS,2010,201004,April 2010,0,0,2,Exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,161196049,,,0
HS,2010,201012,December 2010,0,0,2,Exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,208473022,,,0
HS,2010,201010,October 2010,0,0,3,Re-exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35973169,,,0
HS,2011,201101,January 2011,0,0,2,Exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,143695390,,,0
HS,2011,201108,August 2011,0,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,453973064,,,0
HS,2011,201108,August 2011,0,0,2,Exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,195803485,,,0
HS,2011,201112,December 2011,0,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,491954524,,,0
HS,2011,201111,November 2011,0,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,466735851,,,0
HS,2012,201201,January 2012,0,0,3,Re-exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29336282,,,0
HS,2012,201204,April 2012,0,0,2,Exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,173771807,,,0
HS,2012,201209,September 2012,0,0,3,Re-exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29718731,,,0
HS,2018,201805,May 2018,0,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33323830316,,,0
HS,2018,201805,May 2018,0,0,2,Exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11426970896,,,0
HS,2013,201305,May 2013,0,0,2,Exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,182453231,,,0
HS,2013,201305,May 2013,0,0,3,Re-exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25764739,,,0
HS,2019,201912,December 2019,0,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,496147416,,,0
HS,2017,201706,June 2017,0,0,3,Re-exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,49914375,,,0
HS,2013,201311,November 2013,0,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,508663976,,,0
HS,2019,201907,July 2019,0,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,488662775,,,0
HS,2021,202108,August 2021,0,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,409839157,,,0
HS,2010,201002,February 2010,0,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,304359849,,,0
HS,2010,201002,February 2010,0,0,2,Exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,129864763,,,0
HS,2010,201006,June 2010,0,0,2,Exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,172136384,,,0
HS,2010,201003,March 2010,0,0,2,Exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,157197474,,,0
HS,2010,201008,August 2010,0,0,2,Exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,183242796,,,0
HS,2010,201006,June 2010,0,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,350114503,,,0
HS,2010,201009,September 2010,0,0,2,Exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,176072605,,,0
HS,2010,201009,September 2010,0,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,361386493,,,0
HS,2010,201007,July 2010,0,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,356239520,,,0
HS,2010,201007,July 2010,0,0,2,Exports,480,Mauritius,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,170652564,,,0
