Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2012,201201,January 2012,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27543643584,,,0
HS,2016,201606,June 2016,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32465973121,,,0
HS,2014,201408,August 2014,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34483635018,,,0
HS,2014,201404,April 2014,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33561872279,,,0
HS,2014,201404,April 2014,0,0,2,Exports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34059941540,,,0
HS,2014,201407,July 2014,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34690782933,,,0
HS,2014,201407,July 2014,0,0,2,Exports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33687090397,,,0
HS,2015,201505,May 2015,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32357412747,,,0
HS,2015,201504,April 2015,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33041335124,,,0
HS,2020,202010,October 2020,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35720951733,,,0
HS,2020,202010,October 2020,0,0,2,Exports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41944511089,,,0
HS,2015,201512,December 2015,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31887338703,,,0
HS,2015,201512,December 2015,0,0,2,Exports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31141420337,,,0
HS,2015,201511,November 2015,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32593480148,,,0
HS,2015,201511,November 2015,0,0,2,Exports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,30980743181,,,0
HS,2016,201604,April 2016,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32495321206,,,0
HS,2016,201612,December 2016,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33206053523,,,0
HS,2016,201602,February 2016,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29749348238,,,0
HS,2021,202103,March 2021,0,0,2,Exports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,43002956647,,,0
HS,2017,201706,June 2017,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35548922505,,,0
HS,2017,201706,June 2017,0,0,2,Exports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35547887384,,,0
HS,2017,201712,December 2017,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35984017012,,,0
HS,2015,201510,October 2015,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35598930710,,,0
HS,2015,201510,October 2015,0,0,2,Exports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34098749242,,,0
HS,2015,201502,February 2015,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41391702790,,,0
HS,2015,201502,February 2015,0,0,2,Exports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45210937107,,,0
HS,2015,201506,June 2015,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34588509698,,,0
HS,2017,201705,May 2017,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36546956614,,,0
HS,2014,201403,March 2014,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32287360472,,,0
HS,2014,201403,March 2014,0,0,2,Exports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33245183514,,,0
HS,2014,201402,February 2014,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29543472414,,,0
HS,2019,201908,August 2019,0,0,1,Imports,484,Mexico,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39655115631,,,0
