Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201603,March 2016,0,0,2,Exports,496,Mongolia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,345666891,,,0
HS,2017,201705,May 2017,0,0,1,Imports,496,Mongolia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,381574454,,,0
HS,2017,201707,July 2017,0,0,1,Imports,496,Mongolia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,405178975,,,0
HS,2017,201709,September 2017,0,0,1,Imports,496,Mongolia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,377300430,,,0
HS,2017,201709,September 2017,0,0,4,Re-imports,496,Mongolia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,765654,,,0
HS,2017,201710,October 2017,0,0,2,Exports,496,Mongolia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,494015019,,,0
HS,2017,201710,October 2017,0,0,3,Re-exports,496,Mongolia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3499983,,,0
HS,2018,201801,January 2018,0,0,1,Imports,496,Mongolia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,361131765,,,0
HS,2018,201804,April 2018,0,0,1,Imports,496,Mongolia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,451607979,,,0
HS,2018,201804,April 2018,0,0,2,Exports,496,Mongolia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,640654973,,,0
HS,2018,201805,May 2018,0,0,1,Imports,496,Mongolia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,596775252,,,0
HS,2018,201806,June 2018,0,0,1,Imports,496,Mongolia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,537645172,,,0
HS,2018,201807,July 2018,0,0,2,Exports,496,Mongolia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,535524028,,,0
HS,2018,201809,September 2018,0,0,1,Imports,496,Mongolia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,548816773,,,0
