Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201002,February 2010,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,146500258,,,0
HS,2010,201004,April 2010,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,183430088,,,0
HS,2010,201004,April 2010,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34899668,,,0
HS,2010,201005,May 2010,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,173458417,,,0
HS,2010,201006,June 2010,0,0,3,Re-exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1468118,,,0
HS,2010,201007,July 2010,0,0,3,Re-exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1916333,,,0
HS,2010,201009,September 2010,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,186177763,,,0
HS,2010,201010,October 2010,0,0,3,Re-exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1998070,,,0
HS,2011,201102,February 2011,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,160784723,,,0
HS,2011,201107,July 2011,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,250628547,,,0
HS,2011,201108,August 2011,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,247404176,,,0
HS,2011,201109,September 2011,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,237932442,,,0
HS,2011,201111,November 2011,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,51348624,,,0
HS,2011,201112,December 2011,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,215296519,,,0
HS,2012,201203,March 2012,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,252736107,,,0
HS,2012,201204,April 2012,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41117425,,,0
HS,2012,201208,August 2012,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,214996132,,,0
HS,2012,201209,September 2012,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,189897983,,,0
HS,2012,201212,December 2012,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42563832,,,0
HS,2016,201612,December 2016,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,182577614,,,0
HS,2017,201705,May 2017,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,232435918,,,0
HS,2017,201708,August 2017,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,241651313,,,0
HS,2017,201710,October 2017,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,238898198,,,0
HS,2017,201711,November 2017,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,220666973,,,0
HS,2018,201802,February 2018,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36977888,,,0
HS,2018,201804,April 2018,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43303544,,,0
HS,2018,201805,May 2018,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35813698,,,0
HS,2018,201805,May 2018,0,0,4,Re-imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,158519,,,0
HS,2018,201806,June 2018,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39748529,,,0
HS,2018,201806,June 2018,0,0,4,Re-imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,194018,,,0
HS,2018,201807,July 2018,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35379188,,,0
HS,2018,201807,July 2018,0,0,4,Re-imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,88683,,,0
HS,2018,201808,August 2018,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,38449604,,,0
HS,2018,201808,August 2018,0,0,4,Re-imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,312135,,,0
HS,2018,201809,September 2018,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,239898270,,,0
HS,2018,201810,October 2018,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,282211696,,,0
HS,2018,201810,October 2018,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,38269615,,,0
HS,2018,201811,November 2018,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,227843913,,,0
HS,2018,201811,November 2018,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43124567,,,0
HS,2018,201812,December 2018,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,246478377,,,0
HS,2019,201902,February 2019,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36358147,,,0
HS,2019,201904,April 2019,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,271169062,,,0
HS,2019,201905,May 2019,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33661521,,,0
HS,2019,201906,June 2019,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,265063990,,,0
HS,2019,201908,August 2019,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,38449772,,,0
HS,2019,201911,November 2019,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,226976941,,,0
HS,2019,201911,November 2019,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36943911,,,0
HS,2019,201912,December 2019,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,240733639,,,0
HS,2020,202001,January 2020,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,154046718,,,0
HS,2020,202001,January 2020,0,0,4,Re-imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,46989,,,0
HS,2020,202002,February 2020,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,208881376,,,0
HS,2020,202003,March 2020,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,227425568,,,0
HS,2020,202005,May 2020,0,0,4,Re-imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,78947,,,0
HS,2020,202009,September 2020,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,210750615,,,0
HS,2020,202012,December 2020,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,219436833,,,0
HS,2021,202101,January 2021,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,125121223,,,0
HS,2021,202103,March 2021,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,220507424,,,0
HS,2021,202103,March 2021,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40688463,,,0
HS,2021,202104,April 2021,0,0,4,Re-imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,289463,,,0
HS,2021,202105,May 2021,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,249155970,,,0
HS,2021,202106,June 2021,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,291111338,,,0
HS,2021,202110,October 2021,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,246705796,,,0
HS,2021,202110,October 2021,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43284133,,,0
HS,2010,201001,January 2010,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,105673624,,,0
HS,2010,201001,January 2010,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19358562,,,0
HS,2010,201001,January 2010,0,0,3,Re-exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1592572,,,0
HS,2010,201002,February 2010,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25485036,,,0
HS,2010,201002,February 2010,0,0,3,Re-exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1868942,,,0
HS,2010,201003,March 2010,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,176411440,,,0
HS,2010,201003,March 2010,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32065679,,,0
HS,2010,201003,March 2010,0,0,3,Re-exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2197548,,,0
HS,2010,201004,April 2010,0,0,3,Re-exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1387330,,,0
HS,2010,201005,May 2010,0,0,2,Exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45224203,,,0
HS,2010,201005,May 2010,0,0,3,Re-exports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2394532,,,0
HS,2010,201006,June 2010,0,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,206296902,,,0
