Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201401,January 2014,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3422803,,,0
HS,2014,201401,January 2014,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,549489,,,0
HS,2014,201401,January 2014,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,410318,,,0
HS,2014,201402,February 2014,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2083424,,,0
HS,2014,201402,February 2014,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,155461,,,0
HS,2014,201402,February 2014,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14867,,,0
HS,2014,201403,March 2014,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3646621,,,0
HS,2014,201403,March 2014,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,188492,,,0
HS,2014,201403,March 2014,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,94349,,,0
HS,2014,201404,April 2014,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3534222,,,0
HS,2014,201404,April 2014,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,110820,,,0
HS,2014,201404,April 2014,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,853,,,0
HS,2014,201405,May 2014,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1946345,,,0
HS,2014,201405,May 2014,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,121502,,,0
HS,2014,201407,July 2014,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,420508,,,0
HS,2014,201407,July 2014,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8275,,,0
HS,2014,201405,May 2014,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37452,,,0
HS,2014,201406,June 2014,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4539179,,,0
HS,2014,201406,June 2014,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,409715,,,0
HS,2014,201406,June 2014,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40506,,,0
HS,2014,201407,July 2014,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4228909,,,0
HS,2014,201408,August 2014,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3104333,,,0
HS,2014,201408,August 2014,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,165046,,,0
HS,2014,201408,August 2014,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,159,,,0
HS,2014,201409,September 2014,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3513082,,,0
HS,2014,201409,September 2014,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,354000,,,0
HS,2014,201409,September 2014,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,206392,,,0
HS,2014,201410,October 2014,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2897602,,,0
HS,2014,201410,October 2014,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,514935,,,0
HS,2014,201410,October 2014,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,302309,,,0
HS,2014,201411,November 2014,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4969739,,,0
HS,2014,201411,November 2014,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,156308,,,0
HS,2014,201411,November 2014,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1055,,,0
HS,2014,201412,December 2014,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4023186,,,0
HS,2014,201412,December 2014,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,229684,,,0
HS,2014,201412,December 2014,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32339,,,0
HS,2015,201501,January 2015,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2956138,,,0
HS,2015,201501,January 2015,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,193329,,,0
HS,2015,201501,January 2015,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19758,,,0
HS,2015,201502,February 2015,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2689462,,,0
HS,2015,201502,February 2015,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,122871,,,0
HS,2015,201502,February 2015,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10332,,,0
HS,2015,201503,March 2015,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3365319,,,0
HS,2015,201503,March 2015,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,258903,,,0
HS,2015,201503,March 2015,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23101,,,0
HS,2015,201504,April 2015,0,0,1,Imports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3099283,,,0
HS,2015,201504,April 2015,0,0,2,Exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,302085,,,0
HS,2015,201504,April 2015,0,0,3,Re-exports,500,Montserrat,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,55938,,,0
