Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,504,Morocco,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2666089517,,,0
HS,2018,201804,April 2018,0,0,1,Imports,504,Morocco,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4420234155,,,0
HS,2019,201910,October 2019,0,0,1,Imports,504,Morocco,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4525197465,,,0
HS,2018,201811,November 2018,0,0,2,Exports,504,Morocco,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2408133233,,,0
HS,2018,201806,June 2018,0,0,1,Imports,504,Morocco,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4018934127,,,0
HS,2019,201911,November 2019,0,0,2,Exports,504,Morocco,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2425958426,,,0
HS,2020,202007,July 2020,0,0,1,Imports,504,Morocco,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3306785505,,,0
HS,2020,202007,July 2020,0,0,2,Exports,504,Morocco,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1908362859,,,0
HS,2010,201001,January 2010,0,0,2,Exports,504,Morocco,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1274409801,,,0
HS,2013,201301,January 2013,0,0,1,Imports,504,Morocco,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3329450796,,,0
HS,2013,201301,January 2013,0,0,2,Exports,504,Morocco,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1770311779,,,0
HS,2013,201302,February 2013,0,0,1,Imports,504,Morocco,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3660157049,,,0
