Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201003,March 2010,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,316783289,,,0
HS,2010,201004,April 2010,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,342508348,,,0
HS,2010,201004,April 2010,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,136575419,,,0
HS,2010,201004,April 2010,0,0,3,Re-exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8641958,,,0
HS,2010,201004,April 2010,0,0,4,Re-imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,333267,,,0
HS,2010,201005,May 2010,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,237191061,,,0
HS,2010,201005,May 2010,0,0,3,Re-exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9656653,,,0
HS,2010,201005,May 2010,0,0,4,Re-imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,132877,,,0
HS,2010,201006,June 2010,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,333949619,,,0
HS,2010,201006,June 2010,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,209747735,,,0
HS,2010,201006,June 2010,0,0,3,Re-exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6460426,,,0
HS,2010,201007,July 2010,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,218514228,,,0
HS,2010,201007,July 2010,0,0,3,Re-exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7426871,,,0
HS,2010,201007,July 2010,0,0,4,Re-imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,97374,,,0
HS,2010,201008,August 2010,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,324137675,,,0
HS,2010,201008,August 2010,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,222559099,,,0
HS,2010,201009,September 2010,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,326002330,,,0
HS,2010,201009,September 2010,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,217789317,,,0
HS,2010,201009,September 2010,0,0,4,Re-imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,388421,,,0
HS,2010,201010,October 2010,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,391671320,,,0
HS,2010,201011,November 2010,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,302926566,,,0
HS,2010,201011,November 2010,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,223682058,,,0
HS,2010,201012,December 2010,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,303809514,,,0
HS,2011,201101,January 2011,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,493253000,,,0
HS,2011,201101,January 2011,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,262478000,,,0
HS,2011,201103,March 2011,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,430572000,,,0
HS,2011,201105,May 2011,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,431008000,,,0
HS,2011,201107,July 2011,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,269768000,,,0
HS,2011,201112,December 2011,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,251978000,,,0
HS,2012,201201,January 2012,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,531587730,,,0
HS,2012,201201,January 2012,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,368131385,,,0
HS,2012,201202,February 2012,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,570866410,,,0
HS,2012,201203,March 2012,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,418275820,,,0
HS,2012,201204,April 2012,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,326131050,,,0
HS,2012,201204,April 2012,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,225784571,,,0
HS,2012,201207,July 2012,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,524763490,,,0
HS,2012,201207,July 2012,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,297056900,,,0
HS,2012,201209,September 2012,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,234538441,,,0
HS,2012,201212,December 2012,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,745415797,,,0
HS,2012,201212,December 2012,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,254152369,,,0
HS,2013,201302,February 2013,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,600395000,,,0
HS,2015,201508,August 2015,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,332872019,,,0
HS,2015,201510,October 2015,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,209490882,,,0
HS,2017,201703,March 2017,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,683361533,,,0
HS,2018,201804,April 2018,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,371469393,,,0
HS,2018,201805,May 2018,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,541902086,,,0
HS,2018,201806,June 2018,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,610603995,,,0
HS,2018,201810,October 2018,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,403076056,,,0
HS,2018,201811,November 2018,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,640858635,,,0
HS,2010,201001,January 2010,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,329253804,,,0
HS,2010,201001,January 2010,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,189785971,,,0
HS,2010,201001,January 2010,0,0,3,Re-exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,936422,,,0
HS,2010,201001,January 2010,0,0,4,Re-imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,899672,,,0
HS,2010,201002,February 2010,0,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,257262743,,,0
HS,2010,201002,February 2010,0,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,135901624,,,0
