Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2012,201204,April 2012,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,640381796,,,0
HS,2012,201207,July 2012,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,677629417,,,0
HS,2012,201210,October 2012,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,764275182,,,0
HS,2012,201212,December 2012,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,885243791,,,0
HS,2012,201212,December 2012,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,741780302,,,0
HS,2015,201507,July 2015,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1024359966,,,0
HS,2015,201508,August 2015,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1266807447,,,0
HS,2015,201510,October 2015,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,765725941,,,0
HS,2016,201601,January 2016,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,832831154,,,0
HS,2016,201601,January 2016,0,0,4,Re-imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10500,,,0
HS,2017,201701,January 2017,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1759862445,,,0
HS,2017,201703,March 2017,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1943101592,,,0
HS,2017,201705,May 2017,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1860696520,,,0
HS,2017,201707,July 2017,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1503015245,,,0
HS,2017,201711,November 2017,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1558837132,,,0
HS,2017,201711,November 2017,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1243957116,,,0
HS,2018,201801,January 2018,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1743754830,,,0
HS,2018,201801,January 2018,0,0,4,Re-imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,186387,,,0
HS,2018,201802,February 2018,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1609178002,,,0
HS,2018,201803,March 2018,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1673208081,,,0
HS,2018,201803,March 2018,0,0,4,Re-imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15046,,,0
HS,2018,201805,May 2018,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1972027168,,,0
HS,2018,201806,June 2018,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1630054041,,,0
HS,2018,201808,August 2018,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1788170049,,,0
HS,2018,201809,September 2018,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1620066423,,,0
HS,2018,201810,October 2018,0,0,4,Re-imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,163396,,,0
HS,2018,201811,November 2018,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1532161678,,,0
HS,2018,201811,November 2018,0,0,3,Re-exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,25616119,,,0
HS,2018,201812,December 2018,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1444872581,,,0
HS,2018,201812,December 2018,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1234869516,,,0
HS,2018,201812,December 2018,0,0,3,Re-exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2101980,,,0
HS,2018,201812,December 2018,0,0,4,Re-imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,134570,,,0
HS,2019,201901,January 2019,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1588471577,,,0
HS,2019,201901,January 2019,0,0,3,Re-exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,35573827,,,0
HS,2019,201901,January 2019,0,0,4,Re-imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,34800,,,0
HS,2019,201902,February 2019,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1368870122,,,0
HS,2019,201902,February 2019,0,0,3,Re-exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,19553182,,,0
HS,2019,201902,February 2019,0,0,4,Re-imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1699250,,,0
HS,2019,201903,March 2019,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1379068818,,,0
HS,2019,201904,April 2019,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1500824349,,,0
HS,2019,201904,April 2019,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1483251228,,,0
HS,2019,201904,April 2019,0,0,3,Re-exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,33448803,,,0
HS,2019,201904,April 2019,0,0,4,Re-imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,400000,,,0
HS,2019,201905,May 2019,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1811348838,,,0
HS,2019,201905,May 2019,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1507360244,,,0
HS,2019,201905,May 2019,0,0,3,Re-exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,32992588,,,0
HS,2019,201906,June 2019,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1525009646,,,0
HS,2019,201906,June 2019,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1369694531,,,0
HS,2019,201906,June 2019,0,0,3,Re-exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15573192,,,0
HS,2019,201908,August 2019,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1417802245,,,0
HS,2019,201908,August 2019,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1441728258,,,0
HS,2019,201908,August 2019,0,0,4,Re-imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,20908,,,0
HS,2019,201909,September 2019,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1422167975,,,0
HS,2019,201909,September 2019,0,0,3,Re-exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,372018,,,0
HS,2019,201909,September 2019,0,0,4,Re-imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6800,,,0
HS,2019,201910,October 2019,0,0,1,Imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1533531211,,,0
HS,2019,201910,October 2019,0,0,4,Re-imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6712,,,0
HS,2019,201911,November 2019,0,0,2,Exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1801231445,,,0
HS,2019,201911,November 2019,0,0,3,Re-exports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,109154,,,0
HS,2019,201911,November 2019,0,0,4,Re-imports,104,Myanmar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6768,,,0
