Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201701,January 2017,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,558935875,,,0
HS,2017,201701,January 2017,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,324914339,,,0
HS,2017,201701,January 2017,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,489698,,,0
HS,2017,201702,February 2017,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,485981541,,,0
HS,2017,201702,February 2017,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1128651,,,0
HS,2017,201703,March 2017,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,459707478,,,0
HS,2017,201703,March 2017,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1077935,,,0
HS,2017,201706,June 2017,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,532463552,,,0
HS,2017,201706,June 2017,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1608385,,,0
HS,2017,201708,August 2017,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,443443806,,,0
HS,2017,201708,August 2017,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,142063814,,,0
HS,2020,202001,January 2020,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,479210674,,,0
HS,2020,202006,June 2020,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,237494369,,,0
HS,2020,202010,October 2020,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,779371181,,,0
HS,2020,202010,October 2020,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,476713077,,,0
HS,2020,202012,December 2020,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,516056501,,,0
HS,2010,201001,January 2010,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,356468138,,,0
HS,2010,201001,January 2010,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,365688619,,,0
HS,2010,201002,February 2010,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,419088947,,,0
HS,2010,201002,February 2010,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,351051634,,,0
HS,2010,201003,March 2010,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,439211723,,,0
HS,2010,201003,March 2010,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,458197735,,,0
HS,2017,201701,January 2017,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,115538023,,,0
HS,2017,201702,February 2017,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,560273429,,,0
HS,2017,201702,February 2017,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,290935062,,,0
HS,2017,201703,March 2017,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,521044631,,,0
HS,2017,201703,March 2017,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,123978692,,,0
HS,2017,201704,April 2017,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,429956192,,,0
HS,2017,201704,April 2017,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,386401935,,,0
HS,2017,201704,April 2017,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,140714480,,,0
HS,2017,201704,April 2017,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,911985,,,0
HS,2017,201705,May 2017,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,602733836,,,0
HS,2017,201705,May 2017,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,473141431,,,0
HS,2017,201705,May 2017,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,130796503,,,0
HS,2017,201705,May 2017,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,536589,,,0
HS,2017,201706,June 2017,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,302277864,,,0
HS,2017,201706,June 2017,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,111666090,,,0
HS,2017,201707,July 2017,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,806086752,,,0
HS,2017,201707,July 2017,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,406390608,,,0
HS,2017,201707,July 2017,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,119790058,,,0
HS,2017,201707,July 2017,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1368484,,,0
HS,2017,201708,August 2017,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,532496102,,,0
HS,2017,201708,August 2017,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1829048,,,0
HS,2017,201709,September 2017,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,477222087,,,0
HS,2017,201709,September 2017,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,401426098,,,0
HS,2017,201709,September 2017,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,135109358,,,0
HS,2017,201709,September 2017,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,467490,,,0
HS,2017,201710,October 2017,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,619659912,,,0
HS,2017,201710,October 2017,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,566884954,,,0
HS,2017,201710,October 2017,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,153155101,,,0
HS,2017,201710,October 2017,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,627069,,,0
HS,2017,201711,November 2017,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,503821026,,,0
HS,2017,201711,November 2017,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,403262710,,,0
HS,2017,201711,November 2017,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,112918102,,,0
HS,2017,201711,November 2017,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,319212,,,0
HS,2017,201712,December 2017,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,648281262,,,0
HS,2017,201712,December 2017,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,452500381,,,0
HS,2017,201712,December 2017,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,170718449,,,0
HS,2017,201712,December 2017,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,540304,,,0
HS,2020,202001,January 2020,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,565352099,,,0
HS,2020,202001,January 2020,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,240267383,,,0
HS,2020,202001,January 2020,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,881122,,,0
HS,2020,202002,February 2020,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,607104938,,,0
HS,2020,202002,February 2020,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,362681347,,,0
HS,2020,202002,February 2020,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,143538326,,,0
HS,2020,202002,February 2020,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1285198,,,0
HS,2020,202003,March 2020,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,463602268,,,0
HS,2020,202003,March 2020,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,566820118,,,0
HS,2020,202003,March 2020,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,200630323,,,0
HS,2020,202003,March 2020,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,362524,,,0
HS,2020,202004,April 2020,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,403074597,,,0
HS,2020,202004,April 2020,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,304299262,,,0
HS,2020,202004,April 2020,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,141330268,,,0
HS,2020,202004,April 2020,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,53939,,,0
HS,2020,202005,May 2020,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,490860300,,,0
HS,2020,202005,May 2020,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,420846390,,,0
HS,2020,202005,May 2020,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,182406263,,,0
HS,2020,202005,May 2020,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,453077,,,0
HS,2020,202006,June 2020,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,451844320,,,0
HS,2020,202006,June 2020,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,465740067,,,0
HS,2020,202006,June 2020,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,526177,,,0
HS,2020,202007,July 2020,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,604411184,,,0
HS,2020,202007,July 2020,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,396755116,,,0
HS,2020,202007,July 2020,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,195598024,,,0
HS,2020,202007,July 2020,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,771855,,,0
HS,2020,202008,August 2020,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,570185911,,,0
HS,2020,202008,August 2020,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,486562316,,,0
HS,2020,202008,August 2020,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,254624562,,,0
HS,2020,202008,August 2020,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1155988,,,0
HS,2020,202009,September 2020,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,647956533,,,0
HS,2020,202009,September 2020,0,0,2,Exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,587826278,,,0
HS,2020,202009,September 2020,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,269169775,,,0
HS,2020,202009,September 2020,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1364932,,,0
HS,2020,202010,October 2020,0,0,3,Re-exports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,277430895,,,0
HS,2020,202010,October 2020,0,0,4,Re-imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,875080,,,0
HS,2020,202011,November 2020,0,0,1,Imports,516,Namibia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,734067899,,,0
