Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201108,August 2011,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,43441903559,,,0
HS,2013,201304,April 2013,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,41236627703,,,0
HS,2012,201201,January 2012,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,44703223532,,,0
HS,2016,201608,August 2016,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,33133555258,,,0
HS,2013,201301,January 2013,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,43642984038,,,0
HS,2010,201004,April 2010,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42520236883,,,0
HS,2010,201004,April 2010,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45849389897,,,0
HS,2010,201005,May 2010,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39879384269,,,0
HS,2010,201005,May 2010,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43064382329,,,0
HS,2016,201606,June 2016,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,35855646957,,,0
HS,2010,201008,August 2010,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40568545352,,,0
HS,2010,201008,August 2010,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,44871971706,,,0
HS,2010,201003,March 2010,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,44913861711,,,0
HS,2010,201003,March 2010,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,51303131033,,,0
HS,2011,201102,February 2011,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,38960227910,,,0
HS,2011,201103,March 2011,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,52257332042,,,0
HS,2011,201103,March 2011,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,46673788879,,,0
HS,2011,201102,February 2011,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,44801126306,,,0
HS,2010,201012,December 2010,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,46330565612,,,0
HS,2010,201012,December 2010,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,51349127072,,,0
HS,2010,201002,February 2010,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37573932447,,,0
HS,2010,201002,February 2010,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43447182362,,,0
HS,2010,201006,June 2010,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42226834036,,,0
HS,2010,201006,June 2010,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45231888204,,,0
HS,2011,201106,June 2011,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,47904934921,,,0
HS,2011,201107,July 2011,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,47099349100,,,0
HS,2011,201106,June 2011,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,43779034828,,,0
HS,2011,201107,July 2011,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,41935941104,,,0
HS,2011,201108,August 2011,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,47049570310,,,0
HS,2011,201112,December 2011,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,52280317363,,,0
HS,2011,201109,September 2011,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,43011398956,,,0
HS,2011,201104,April 2011,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,41893204642,,,0
HS,2011,201104,April 2011,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,48720116810,,,0
HS,2011,201112,December 2011,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,46251322948,,,0
HS,2011,201105,May 2011,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,49452602658,,,0
HS,2011,201109,September 2011,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,48540597736,,,0
HS,2010,201010,October 2010,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,47912891367,,,0
HS,2010,201010,October 2010,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,52534431007,,,0
HS,2010,201007,July 2010,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41615338703,,,0
HS,2010,201007,July 2010,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45387029805,,,0
HS,2010,201009,September 2010,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42772716394,,,0
HS,2010,201009,September 2010,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,49647655129,,,0
HS,2010,201011,November 2010,0,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,48490691900,,,0
HS,2010,201011,November 2010,0,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,53785494463,,,0
