Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201011,November 2010,0,0,2,Exports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,159708460,,,0
HS,2014,201405,May 2014,0,0,2,Exports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,98206751,,,0
HS,2010,201001,January 2010,0,0,1,Imports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,185551454,,,0
HS,2010,201001,January 2010,0,0,2,Exports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,101811578,,,0
HS,2010,201002,February 2010,0,0,1,Imports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,232304373,,,0
HS,2010,201002,February 2010,0,0,2,Exports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,91961358,,,0
HS,2010,201003,March 2010,0,0,1,Imports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,251578857,,,0
HS,2010,201003,March 2010,0,0,2,Exports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,125798801,,,0
HS,2010,201004,April 2010,0,0,1,Imports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,242493098,,,0
HS,2010,201004,April 2010,0,0,2,Exports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,138461851,,,0
HS,2010,201005,May 2010,0,0,1,Imports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,212798544,,,0
HS,2010,201005,May 2010,0,0,2,Exports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,93113382,,,0
HS,2010,201006,June 2010,0,0,1,Imports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,265830254,,,0
HS,2010,201006,June 2010,0,0,2,Exports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,140284384,,,0
HS,2010,201007,July 2010,0,0,1,Imports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,268287012,,,0
HS,2010,201007,July 2010,0,0,2,Exports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,115952100,,,0
HS,2010,201008,August 2010,0,0,1,Imports,540,New Caledonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,266153655,,,0
