Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201006,June 2010,0,0,3,Re-exports,554,New Zealand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,106198196,,,0
HS,2010,201010,October 2010,0,0,1,Imports,554,New Zealand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2927639032,,,0
HS,2012,201208,August 2012,0,0,2,Exports,554,New Zealand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2684725042,,,0
HS,2019,201907,July 2019,0,0,1,Imports,554,New Zealand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3818382858,,,0
HS,2018,201802,February 2018,0,0,1,Imports,554,New Zealand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3102063901,,,0
HS,2018,201810,October 2018,0,0,4,Re-imports,554,New Zealand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10704179,,,0
HS,2021,202105,May 2021,0,0,2,Exports,554,New Zealand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4234706972,,,0
HS,2021,202105,May 2021,0,0,3,Re-exports,554,New Zealand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,157032123,,,0
HS,2019,201901,January 2019,0,0,3,Re-exports,554,New Zealand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,97439756,,,0
HS,2019,201901,January 2019,0,0,1,Imports,554,New Zealand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3601411082,,,0
HS,2018,201801,January 2018,0,0,3,Re-exports,554,New Zealand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,106368528,,,0
HS,2017,201711,November 2017,0,0,2,Exports,554,New Zealand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3192504971,,,0
HS,2018,201803,March 2018,0,0,3,Re-exports,554,New Zealand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,114993075,,,0
