Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201011,November 2010,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,350894927,,,0
HS,2011,201108,August 2011,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,444922541,,,0
HS,2013,201302,February 2013,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,428309416,,,0
HS,2013,201302,February 2013,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,191059159,,,0
HS,2019,201901,January 2019,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,573437047,,,0
HS,2019,201901,January 2019,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,407718848,,,0
HS,2019,201903,March 2019,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,457170138,,,0
HS,2019,201912,December 2019,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,523664685,,,0
HS,2020,202004,April 2020,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,475478588,,,0
HS,2020,202007,July 2020,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,457119682,,,0
HS,2020,202008,August 2020,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,545043200,,,0
HS,2020,202011,November 2020,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,568169560,,,0
HS,2020,202012,December 2020,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,602236878,,,0
HS,2020,202012,December 2020,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,407063031,,,0
HS,2021,202101,January 2021,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,592265606,,,0
HS,2010,201001,January 2010,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,374323985,,,0
HS,2010,201001,January 2010,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,124835048,,,0
HS,2010,201002,February 2010,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,321855217,,,0
HS,2010,201002,February 2010,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,142038610,,,0
HS,2010,201003,March 2010,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,325245541,,,0
HS,2010,201003,March 2010,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,213161004,,,0
HS,2010,201004,April 2010,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,307319261,,,0
HS,2010,201004,April 2010,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,144844153,,,0
HS,2010,201005,May 2010,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,286841461,,,0
HS,2010,201005,May 2010,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,160445233,,,0
HS,2010,201006,June 2010,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,366089617,,,0
HS,2010,201006,June 2010,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,189667252,,,0
HS,2010,201007,July 2010,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,343641835,,,0
HS,2010,201007,July 2010,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,152694818,,,0
HS,2010,201008,August 2010,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,433445030,,,0
HS,2010,201008,August 2010,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,152748786,,,0
HS,2010,201009,September 2010,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,292838718,,,0
HS,2010,201009,September 2010,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,129721729,,,0
HS,2010,201010,October 2010,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,423251456,,,0
HS,2010,201010,October 2010,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,131551676,,,0
HS,2010,201011,November 2010,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,136427871,,,0
HS,2010,201012,December 2010,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,365009045,,,0
HS,2010,201012,December 2010,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,169492792,,,0
HS,2011,201101,January 2011,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,318204287,,,0
HS,2011,201101,January 2011,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,184058505,,,0
HS,2011,201102,February 2011,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,453124294,,,0
HS,2011,201102,February 2011,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,189103055,,,0
HS,2011,201103,March 2011,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,413278131,,,0
HS,2011,201103,March 2011,0,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,262513557,,,0
HS,2011,201104,April 2011,0,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,361046915,,,0
