Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201401,January 2014,0,0,1,Imports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,195695691,,,0
HS,2014,201401,January 2014,0,0,2,Exports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,96612007,,,0
HS,2014,201402,February 2014,0,0,1,Imports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,215479112,,,0
HS,2014,201402,February 2014,0,0,2,Exports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,67460261,,,0
HS,2014,201403,March 2014,0,0,1,Imports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,147669290,,,0
HS,2014,201403,March 2014,0,0,2,Exports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,84782057,,,0
HS,2014,201404,April 2014,0,0,1,Imports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,152848617,,,0
HS,2014,201404,April 2014,0,0,2,Exports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,124149627,,,0
HS,2014,201405,May 2014,0,0,1,Imports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,132315500,,,0
HS,2014,201405,May 2014,0,0,2,Exports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,123173681,,,0
HS,2014,201406,June 2014,0,0,1,Imports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,148288906,,,0
HS,2014,201406,June 2014,0,0,2,Exports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,112509974,,,0
HS,2014,201407,July 2014,0,0,1,Imports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,171754923,,,0
HS,2014,201407,July 2014,0,0,2,Exports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,86549574,,,0
HS,2014,201408,August 2014,0,0,1,Imports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,208632759,,,0
HS,2014,201408,August 2014,0,0,2,Exports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,92934200,,,0
HS,2014,201409,September 2014,0,0,1,Imports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,187262335,,,0
HS,2014,201409,September 2014,0,0,2,Exports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,87208201,,,0
HS,2014,201410,October 2014,0,0,1,Imports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,244350546,,,0
HS,2014,201410,October 2014,0,0,2,Exports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,246872266,,,0
HS,2014,201411,November 2014,0,0,1,Imports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,178590923,,,0
HS,2014,201411,November 2014,0,0,2,Exports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,97002199,,,0
HS,2014,201412,December 2014,0,0,1,Imports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,185195305,,,0
HS,2014,201412,December 2014,0,0,2,Exports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,69008564,,,0
HS,2016,201601,January 2016,0,0,1,Imports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,224804023,,,0
HS,2016,201601,January 2016,0,0,2,Exports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,63432842,,,0
HS,2016,201602,February 2016,0,0,1,Imports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,332312553,,,0
HS,2016,201602,February 2016,0,0,2,Exports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,49689881,,,0
HS,2016,201603,March 2016,0,0,1,Imports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,109462413,,,0
HS,2016,201603,March 2016,0,0,2,Exports,562,Niger,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,67326267,,,0
