Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201103,March 2011,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10192828851,,,0
HS,2011,201111,November 2011,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2882573004,,,0
HS,2011,201111,November 2011,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12063746577,,,0
HS,2011,201112,December 2011,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16743799690,,,0
HS,2018,201801,January 2018,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3429960102,,,0
HS,2018,201801,January 2018,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4924806593,,,0
HS,2011,201101,January 2011,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7759451248,,,0
HS,2011,201101,January 2011,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5829424251,,,0
HS,2011,201102,February 2011,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2476123194,,,0
HS,2011,201102,February 2011,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9024252304,,,0
HS,2011,201103,March 2011,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6310479929,,,0
HS,2011,201104,April 2011,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2707355096,,,0
HS,2011,201104,April 2011,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7933199071,,,0
HS,2011,201105,May 2011,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8399375708,,,0
HS,2011,201105,May 2011,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6944231229,,,0
HS,2011,201106,June 2011,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9501120041,,,0
HS,2011,201106,June 2011,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10821309562,,,0
HS,2011,201107,July 2011,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6343426038,,,0
HS,2011,201107,July 2011,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8674711783,,,0
HS,2011,201108,August 2011,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4448188264,,,0
HS,2011,201108,August 2011,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8270824759,,,0
HS,2011,201109,September 2011,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3316443816,,,0
HS,2011,201109,September 2011,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15753124424,,,0
HS,2011,201110,October 2011,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2778415948,,,0
HS,2011,201110,October 2011,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16968926535,,,0
HS,2011,201112,December 2011,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3297489757,,,0
HS,2018,201802,February 2018,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2826938335,,,0
HS,2018,201802,February 2018,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5706765150,,,0
HS,2018,201803,March 2018,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1977830843,,,0
HS,2018,201803,March 2018,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4715640336,,,0
HS,2020,202001,January 2020,0,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5177032350,,,0
HS,2020,202001,January 2020,0,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5559965520,,,0
