Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201002,February 2010,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,220528963,,,0
HS,2011,201101,January 2011,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,298476428,,,0
HS,2010,201012,December 2010,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,583294296,,,0
HS,2011,201106,June 2011,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,567130072,,,0
HS,2011,201109,September 2011,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,431141162,,,0
HS,2011,201105,May 2011,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,579063097,,,0
HS,2016,201602,February 2016,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,534440885,,,0
HS,2012,201202,February 2012,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,470704226,,,0
HS,2013,201303,March 2013,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,517261461,,,0
HS,2013,201301,January 2013,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,306220273,,,0
HS,2013,201303,March 2013,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,336605570,,,0
HS,2013,201304,April 2013,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,599351559,,,0
HS,2013,201302,February 2013,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,307792972,,,0
HS,2016,201610,October 2016,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,595498020,,,0
HS,2016,201612,December 2016,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,641444448,,,0
HS,2016,201611,November 2016,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,575158722,,,0
HS,2015,201502,February 2015,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,464773552,,,0
HS,2015,201503,March 2015,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,367499776,,,0
HS,2015,201505,May 2015,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,401381008,,,0
HS,2015,201505,May 2015,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,525543323,,,0
HS,2016,201607,July 2016,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,576706556,,,0
HS,2015,201508,August 2015,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,478357137,,,0
HS,2019,201909,September 2019,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,622122549,,,0
HS,2017,201708,August 2017,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,634328174,,,0
HS,2015,201502,February 2015,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,340148850,,,0
HS,2017,201701,January 2017,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,480204401,,,0
HS,2017,201708,August 2017,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,454997822,,,0
HS,2016,201605,May 2016,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,605341037,,,0
HS,2016,201603,March 2016,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,586840636,,,0
HS,2017,201707,July 2017,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,632939650,,,0
HS,2016,201606,June 2016,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,562077265,,,0
HS,2018,201802,February 2018,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,713087487,,,0
HS,2017,201712,December 2017,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,736687927,,,0
HS,2015,201512,December 2015,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,588944552,,,0
HS,2017,201709,September 2017,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,669507505,,,0
HS,2017,201710,October 2017,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,732723783,,,0
HS,2019,201910,October 2019,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,626177011,,,0
HS,2018,201806,June 2018,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,749300268,,,0
HS,2015,201503,March 2015,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,579029777,,,0
HS,2017,201702,February 2017,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,557220997,,,0
HS,2018,201807,July 2018,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,748614798,,,0
HS,2018,201808,August 2018,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,689829089,,,0
HS,2018,201812,December 2018,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,751144978,,,0
HS,2017,201705,May 2017,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,683337936,,,0
HS,2015,201509,September 2015,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,518274622,,,0
HS,2015,201509,September 2015,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,414923788,,,0
HS,2015,201506,June 2015,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,577747858,,,0
HS,2019,201912,December 2019,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,559747142,,,0
HS,2020,202008,August 2020,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,592392858,,,0
HS,2021,202102,February 2021,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,659586522,,,0
HS,2010,201001,January 2010,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,329845258,,,0
HS,2010,201001,January 2010,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,194509985,,,0
HS,2010,201008,August 2010,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,471545855,,,0
HS,2010,201008,August 2010,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,265744634,,,0
HS,2010,201009,September 2010,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,422671822,,,0
HS,2010,201009,September 2010,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,332771195,,,0
HS,2010,201004,April 2010,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,474991204,,,0
HS,2010,201004,April 2010,0,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,248404538,,,0
HS,2010,201005,May 2010,0,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,420087689,,,0
