Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201107,July 2011,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6691581820,,,0
HS,2019,201911,November 2019,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6891185571,,,0
HS,2015,201503,March 2015,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7066378437,,,0
HS,2017,201710,October 2017,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7026860884,,,0
HS,2020,202005,May 2020,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5722359037,,,0
HS,2020,202007,July 2020,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6502046797,,,0
HS,2017,201712,December 2017,0,0,2,Exports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9238142644,,,0
HS,2018,201809,September 2018,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7189926108,,,0
HS,2020,202010,October 2020,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7307196629,,,0
HS,2011,201109,September 2011,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7745047579,,,0
HS,2011,201109,September 2011,0,0,2,Exports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13339389650,,,0
HS,2011,201102,February 2011,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6855706411,,,0
HS,2011,201102,February 2011,0,0,2,Exports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12492506793,,,0
HS,2010,201008,August 2010,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5873969295,,,0
HS,2010,201008,August 2010,0,0,2,Exports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9185073291,,,0
HS,2010,201009,September 2010,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7306508596,,,0
HS,2010,201001,January 2010,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5273496100,,,0
HS,2010,201009,September 2010,0,0,2,Exports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10523207139,,,0
HS,2010,201001,January 2010,0,0,2,Exports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11153317999,,,0
HS,2010,201004,April 2010,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6508738858,,,0
HS,2010,201004,April 2010,0,0,2,Exports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10644500992,,,0
HS,2010,201002,February 2010,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5682881078,,,0
HS,2010,201002,February 2010,0,0,2,Exports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11178229955,,,0
HS,2010,201005,May 2010,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6077735002,,,0
HS,2010,201005,May 2010,0,0,2,Exports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9401701998,,,0
HS,2010,201006,June 2010,0,0,1,Imports,579,Norway,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6685007481,,,0
