Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201501,January 2015,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2735745379,,,0
HS,2015,201501,January 2015,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,407420567,,,0
HS,2015,201509,September 2015,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2265862412,,,0
HS,2018,201804,April 2018,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2251244435,,,0
HS,2018,201804,April 2018,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3331830363,,,0
HS,2018,201804,April 2018,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,382332514,,,0
HS,2018,201807,July 2018,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3722425574,,,0
HS,2018,201807,July 2018,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,430983490,,,0
HS,2018,201808,August 2018,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,327335713,,,0
HS,2018,201809,September 2018,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2322757838,,,0
HS,2018,201809,September 2018,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3527251100,,,0
HS,2018,201810,October 2018,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3990040554,,,0
HS,2018,201812,December 2018,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3833824987,,,0
HS,2015,201501,January 2015,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2271405013,,,0
HS,2015,201502,February 2015,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2296204371,,,0
HS,2015,201502,February 2015,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2885605833,,,0
HS,2015,201502,February 2015,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,502372730,,,0
HS,2015,201503,March 2015,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2392133449,,,0
HS,2015,201503,March 2015,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2778838891,,,0
HS,2015,201503,March 2015,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,492322957,,,0
HS,2015,201504,April 2015,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2405766205,,,0
HS,2015,201504,April 2015,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2811396448,,,0
HS,2015,201504,April 2015,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,403298791,,,0
HS,2015,201505,May 2015,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2397207727,,,0
HS,2015,201505,May 2015,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2974756805,,,0
HS,2015,201505,May 2015,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,481971949,,,0
HS,2015,201506,June 2015,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2581015141,,,0
HS,2015,201506,June 2015,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3001351986,,,0
HS,2015,201506,June 2015,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,462001480,,,0
HS,2015,201507,July 2015,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2595193987,,,0
HS,2015,201507,July 2015,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3175922946,,,0
HS,2015,201507,July 2015,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,810321464,,,0
HS,2015,201508,August 2015,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2522126122,,,0
HS,2015,201508,August 2015,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2843364321,,,0
HS,2015,201508,August 2015,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,495984397,,,0
HS,2015,201509,September 2015,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3135505420,,,0
HS,2015,201509,September 2015,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,845392865,,,0
HS,2015,201510,October 2015,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2336922325,,,0
HS,2015,201510,October 2015,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2785323093,,,0
HS,2015,201510,October 2015,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,559452087,,,0
HS,2015,201511,November 2015,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2344181027,,,0
HS,2015,201511,November 2015,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2948139052,,,0
HS,2015,201511,November 2015,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,694718091,,,0
HS,2015,201512,December 2015,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2599002096,,,0
HS,2015,201512,December 2015,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2790044057,,,0
HS,2015,201512,December 2015,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,532850467,,,0
HS,2016,201601,January 2016,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1899815787,,,0
HS,2016,201601,January 2016,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2627817574,,,0
HS,2016,201601,January 2016,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,741015561,,,0
HS,2016,201602,February 2016,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1923652935,,,0
HS,2016,201602,February 2016,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2359472152,,,0
HS,2016,201602,February 2016,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,260638372,,,0
HS,2016,201603,March 2016,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1546494714,,,0
HS,2016,201603,March 2016,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3087990100,,,0
HS,2016,201603,March 2016,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1369214719,,,0
HS,2016,201604,April 2016,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1503603170,,,0
HS,2016,201604,April 2016,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2551529240,,,0
HS,2016,201604,April 2016,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,934117050,,,0
HS,2016,201605,May 2016,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2152954974,,,0
HS,2016,201605,May 2016,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2420822473,,,0
HS,2016,201605,May 2016,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,587066657,,,0
HS,2016,201606,June 2016,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1970022351,,,0
HS,2016,201606,June 2016,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2596083263,,,0
HS,2016,201606,June 2016,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,650612516,,,0
HS,2016,201607,July 2016,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1871836076,,,0
HS,2016,201607,July 2016,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2224751753,,,0
HS,2016,201607,July 2016,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,441472171,,,0
HS,2016,201608,August 2016,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2329256896,,,0
HS,2016,201608,August 2016,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2272918989,,,0
HS,2016,201608,August 2016,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,410817214,,,0
HS,2016,201609,September 2016,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1864842446,,,0
HS,2016,201609,September 2016,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2474873319,,,0
HS,2016,201609,September 2016,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,700351438,,,0
HS,2016,201610,October 2016,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2299535028,,,0
HS,2016,201610,October 2016,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2763702056,,,0
HS,2016,201610,October 2016,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,838748481,,,0
HS,2016,201611,November 2016,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1927184810,,,0
HS,2016,201611,November 2016,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2499106792,,,0
HS,2016,201611,November 2016,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,611501846,,,0
HS,2016,201612,December 2016,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1858392155,,,0
HS,2016,201612,December 2016,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2006462090,,,0
HS,2016,201612,December 2016,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,271539765,,,0
HS,2018,201801,January 2018,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2241273767,,,0
HS,2018,201801,January 2018,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3120087800,,,0
HS,2018,201801,January 2018,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,341470619,,,0
HS,2018,201802,February 2018,0,0,1,Imports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2006205390,,,0
HS,2018,201802,February 2018,0,0,2,Exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3007246562,,,0
HS,2018,201802,February 2018,0,0,3,Re-exports,512,Oman,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,413592199,,,0
