Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3238249434,,,0
HS,2010,201011,November 2010,0,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1775167321,,,0
HS,2010,201005,May 2010,0,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1752546041,,,0
HS,2010,201012,December 2010,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3730096568,,,0
HS,2011,201104,April 2011,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3244053091,,,0
HS,2011,201106,June 2011,0,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2425427936,,,0
HS,2011,201106,June 2011,0,0,3,Re-exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5024578,,,0
HS,2011,201105,May 2011,0,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2307148226,,,0
HS,2011,201110,October 2011,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3568876296,,,0
HS,2012,201208,August 2012,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3681137211,,,0
HS,2012,201208,August 2012,0,0,3,Re-exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6357861,,,0
HS,2013,201304,April 2013,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3720542523,,,0
HS,2019,201902,February 2019,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4166194718,,,0
HS,2017,201703,March 2017,0,0,3,Re-exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15117241,,,0
HS,2018,201803,March 2018,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5256312338,,,0
HS,2018,201808,August 2018,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4972651520,,,0
HS,2017,201710,October 2017,0,0,4,Re-imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,24516971,,,0
HS,2017,201701,January 2017,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4710406944,,,0
HS,2017,201705,May 2017,0,0,3,Re-exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16873343,,,0
HS,2017,201703,March 2017,0,0,4,Re-imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,22169571,,,0
HS,2017,201707,July 2017,0,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1649153724,,,0
HS,2019,201905,May 2019,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5018110763,,,0
HS,2017,201709,September 2017,0,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1681823697,,,0
HS,2017,201709,September 2017,0,0,3,Re-exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14888484,,,0
HS,2018,201805,May 2018,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5794563443,,,0
HS,2018,201801,January 2018,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5590353731,,,0
HS,2010,201001,January 2010,0,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1697603397,,,0
HS,2010,201001,January 2010,0,0,3,Re-exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15310103,,,0
HS,2010,201001,January 2010,0,0,4,Re-imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,50,,,0
HS,2010,201011,November 2010,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3107479379,,,0
HS,2019,201906,June 2019,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4338959553,,,0
HS,2010,201010,October 2010,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3158681398,,,0
HS,2010,201010,October 2010,0,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1987278835,,,0
HS,2010,201010,October 2010,0,0,3,Re-exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,50833090,,,0
HS,2010,201010,October 2010,0,0,4,Re-imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24095910,,,0
HS,2010,201009,September 2010,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2776627679,,,0
HS,2010,201009,September 2010,0,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1617825964,,,0
HS,2010,201009,September 2010,0,0,3,Re-exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26460700,,,0
HS,2010,201008,August 2010,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2996600382,,,0
HS,2010,201008,August 2010,0,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1770390291,,,0
HS,2010,201008,August 2010,0,0,3,Re-exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33354334,,,0
HS,2010,201004,April 2010,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3013779194,,,0
HS,2010,201004,April 2010,0,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1736136600,,,0
HS,2010,201004,April 2010,0,0,3,Re-exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36435640,,,0
HS,2011,201108,August 2011,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3695273167,,,0
HS,2011,201108,August 2011,0,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1962054585,,,0
HS,2011,201108,August 2011,0,0,3,Re-exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18459377,,,0
HS,2011,201108,August 2011,0,0,4,Re-imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,220713,,,0
HS,2011,201103,March 2011,0,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2495209191,,,0
HS,2011,201103,March 2011,0,0,3,Re-exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33886867,,,0
HS,2010,201011,November 2010,0,0,3,Re-exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,51535291,,,0
HS,2010,201002,February 2010,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2459150670,,,0
HS,2010,201002,February 2010,0,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1538553099,,,0
HS,2019,201911,November 2019,0,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3924721403,,,0
