Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,727918935,,,0
HS,2011,201107,July 2011,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,728560599,,,0
HS,2011,201111,November 2011,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,66280492,,,0
HS,2011,201112,December 2011,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1022839518,,,0
HS,2012,201201,January 2012,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,52873944,,,0
HS,2012,201202,February 2012,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,875701152,,,0
HS,2012,201206,June 2012,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,61839837,,,0
HS,2012,201212,December 2012,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1034311082,,,0
HS,2013,201303,March 2013,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,65999314,,,0
HS,2013,201305,May 2013,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,74868726,,,0
HS,2010,201001,January 2010,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,53716762,,,0
HS,2010,201002,February 2010,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,587223317,,,0
HS,2010,201002,February 2010,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,62370726,,,0
HS,2010,201003,March 2010,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,751908640,,,0
HS,2010,201003,March 2010,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,79345937,,,0
HS,2010,201004,April 2010,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,759925700,,,0
HS,2010,201004,April 2010,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,70791202,,,0
HS,2011,201101,January 2011,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,773108956,,,0
HS,2011,201101,January 2011,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,50146085,,,0
HS,2011,201102,February 2011,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,811908662,,,0
HS,2011,201102,February 2011,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,56337467,,,0
HS,2011,201103,March 2011,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,854076004,,,0
HS,2011,201103,March 2011,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,69376262,,,0
HS,2011,201104,April 2011,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,910582444,,,0
HS,2011,201104,April 2011,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,70085134,,,0
HS,2011,201105,May 2011,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,977908426,,,0
HS,2011,201105,May 2011,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,81615978,,,0
HS,2011,201106,June 2011,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1003333376,,,0
HS,2011,201106,June 2011,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,69186487,,,0
HS,2011,201107,July 2011,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,64099213,,,0
HS,2011,201108,August 2011,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,939043454,,,0
HS,2011,201108,August 2011,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,68370496,,,0
HS,2011,201109,September 2011,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,975953796,,,0
HS,2011,201109,September 2011,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,69089586,,,0
HS,2011,201110,October 2011,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1009375255,,,0
HS,2011,201110,October 2011,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,62119650,,,0
HS,2011,201111,November 2011,0,0,1,Imports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1012926616,,,0
HS,2011,201112,December 2011,0,0,2,Exports,591,Panama,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,58541831,,,0
