Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2009,200906,June 2009,0,0,1,Imports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,551285779,,,0
HS,2014,201401,January 2014,0,0,2,Exports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,734613442,,,0
HS,2015,201506,June 2015,0,0,2,Exports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,733361562,,,0
HS,2019,201901,January 2019,0,0,1,Imports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,991065790,,,0
HS,2013,201306,June 2013,0,0,1,Imports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,892726897,,,0
HS,2015,201507,July 2015,0,0,1,Imports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,929195545,,,0
HS,2014,201410,October 2014,0,0,1,Imports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1174524839,,,0
HS,2017,201701,January 2017,0,0,1,Imports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,867818438,,,0
HS,2017,201701,January 2017,0,0,2,Exports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,591390589,,,0
HS,2017,201701,January 2017,0,0,4,Re-imports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7924,,,0
HS,2016,201609,September 2016,0,0,1,Imports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,956703121,,,0
HS,2018,201803,March 2018,0,0,1,Imports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1045861153,,,0
HS,2019,201908,August 2019,0,0,1,Imports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1127125261,,,0
HS,2019,201905,May 2019,0,0,1,Imports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,981291461,,,0
HS,2020,202004,April 2020,0,0,1,Imports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,505930649,,,0
HS,2020,202005,May 2020,0,0,2,Exports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,684327635,,,0
HS,2020,202006,June 2020,0,0,1,Imports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,834972576,,,0
HS,2020,202007,July 2020,0,0,1,Imports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,884572772,,,0
HS,2021,202106,June 2021,0,0,2,Exports,600,Paraguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1063245683,,,0
