Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201012,December 2010,0,0,2,Exports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3773645150,,,0
HS,2010,201011,November 2010,0,0,2,Exports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3356188944,,,0
HS,2010,201010,October 2010,0,0,4,Re-imports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,781390,,,0
HS,2010,201010,October 2010,0,0,1,Imports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2786441252,,,0
HS,2010,201009,September 2010,0,0,2,Exports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3311035701,,,0
HS,2010,201010,October 2010,0,0,2,Exports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3172032661,,,0
HS,2010,201011,November 2010,0,0,1,Imports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2808528826,,,0
HS,2010,201006,June 2010,0,0,2,Exports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3153897533,,,0
HS,2010,201008,August 2010,0,0,2,Exports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3035321474,,,0
HS,2010,201008,August 2010,0,0,1,Imports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2683791249,,,0
HS,2010,201005,May 2010,0,0,2,Exports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2391483098,,,0
HS,2010,201007,July 2010,0,0,2,Exports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3035349332,,,0
HS,2011,201108,August 2011,0,0,2,Exports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4553980244,,,0
HS,2011,201108,August 2011,0,0,4,Re-imports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,292721,,,0
HS,2010,201004,April 2010,0,0,2,Exports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2670975673,,,0
HS,2011,201102,February 2011,0,0,2,Exports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3379349540,,,0
HS,2011,201112,December 2011,0,0,2,Exports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4539216015,,,0
HS,2011,201111,November 2011,0,0,1,Imports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3354122247,,,0
HS,2011,201110,October 2011,0,0,2,Exports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3935541975,,,0
HS,2011,201111,November 2011,0,0,2,Exports,604,Peru,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3351778025,,,0
