Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,608,Philippines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4578750743,,,0
HS,2011,201110,October 2011,0,0,1,Imports,608,Philippines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5351268560,,,0
HS,2011,201101,January 2011,0,0,1,Imports,608,Philippines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5592647827,,,0
HS,2011,201109,September 2011,0,0,1,Imports,608,Philippines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5413041333,,,0
HS,2010,201012,December 2010,0,0,2,Exports,608,Philippines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4201275491,,,0
HS,2010,201005,May 2010,0,0,2,Exports,608,Philippines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4241422444,,,0
HS,2010,201005,May 2010,0,0,1,Imports,608,Philippines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5122087751,,,0
HS,2010,201004,April 2010,0,0,2,Exports,608,Philippines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3611608900,,,0
HS,2011,201111,November 2011,0,0,1,Imports,608,Philippines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5310066720,,,0
HS,2012,201210,October 2012,0,0,1,Imports,608,Philippines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5541037248,,,0
HS,2017,201712,December 2017,0,0,1,Imports,608,Philippines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9427044876,,,0
