Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201011,November 2010,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16279987354,,,0
HS,2011,201104,April 2011,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17534459329,,,0
HS,2011,201110,October 2011,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16021651997,,,0
HS,2011,201102,February 2011,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14547006025,,,0
HS,2011,201109,September 2011,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17982903669,,,0
HS,2010,201012,December 2010,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14183210862,,,0
HS,2011,201108,August 2011,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16088458747,,,0
HS,2010,201012,December 2010,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12060233617,,,0
HS,2010,201009,September 2010,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15314076589,,,0
HS,2010,201009,September 2010,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14068764914,,,0
HS,2011,201110,October 2011,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17468101302,,,0
HS,2010,201003,March 2010,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15596875139,,,0
HS,2010,201010,October 2010,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14990557418,,,0
HS,2010,201010,October 2010,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16456469497,,,0
HS,2010,201008,August 2010,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13815993886,,,0
HS,2010,201008,August 2010,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12011748656,,,0
HS,2010,201011,November 2010,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13879333289,,,0
HS,2010,201002,February 2010,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13516673086,,,0
HS,2010,201001,January 2010,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12668194079,,,0
HS,2011,201101,January 2011,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14396195861,,,0
HS,2011,201108,August 2011,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18057222130,,,0
HS,2011,201101,January 2011,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13092878268,,,0
HS,2010,201007,July 2010,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12498555559,,,0
HS,2011,201105,May 2011,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18752067687,,,0
HS,2010,201007,July 2010,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13964065185,,,0
HS,2010,201001,January 2010,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11645568297,,,0
HS,2011,201105,May 2011,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16785837076,,,0
HS,2011,201107,July 2011,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17449097895,,,0
HS,2010,201004,April 2010,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14192054620,,,0
HS,2010,201002,February 2010,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12244430510,,,0
HS,2010,201003,March 2010,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13868821396,,,0
HS,2011,201107,July 2011,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15179336866,,,0
HS,2011,201104,April 2011,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15380186506,,,0
HS,2010,201004,April 2010,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13052017504,,,0
HS,2011,201109,September 2011,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19084728626,,,0
HS,2011,201111,November 2011,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17958871071,,,0
HS,2011,201103,March 2011,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18099238500,,,0
HS,2011,201112,December 2011,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15735523646,,,0
HS,2011,201103,March 2011,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16519603991,,,0
HS,2011,201111,November 2011,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16421877016,,,0
HS,2011,201112,December 2011,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13804396431,,,0
HS,2010,201006,June 2010,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13718835333,,,0
HS,2010,201006,June 2010,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12894332301,,,0
HS,2010,201005,May 2010,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13563358368,,,0
HS,2010,201005,May 2010,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12194023061,,,0
HS,2011,201106,June 2011,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18536026064,,,0
HS,2011,201106,June 2011,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16280953555,,,0
HS,2011,201102,February 2011,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16120014315,,,0
HS,2012,201201,January 2012,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15570291569,,,0
HS,2012,201201,January 2012,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14233753128,,,0
HS,2012,201202,February 2012,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15768326846,,,0
HS,2012,201202,February 2012,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14111193349,,,0
HS,2012,201203,March 2012,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17365482403,,,0
HS,2012,201203,March 2012,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16196138771,,,0
HS,2012,201204,April 2012,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16443031999,,,0
HS,2012,201204,April 2012,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15329135039,,,0
HS,2012,201205,May 2012,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17167715175,,,0
HS,2012,201205,May 2012,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15559992688,,,0
HS,2012,201206,June 2012,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15305558669,,,0
HS,2012,201206,June 2012,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14406298443,,,0
HS,2012,201207,July 2012,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15528052662,,,0
HS,2012,201207,July 2012,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14757160867,,,0
HS,2012,201208,August 2012,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14420295754,,,0
HS,2012,201208,August 2012,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14034163732,,,0
HS,2012,201209,September 2012,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15730122366,,,0
HS,2012,201209,September 2012,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15498034200,,,0
HS,2012,201211,November 2012,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16702518898,,,0
HS,2012,201211,November 2012,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15940151997,,,0
HS,2021,202102,February 2021,0,0,2,Exports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,26086226621,,,0
HS,2021,202102,February 2021,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,25474633296,,,0
HS,2012,201212,December 2012,0,0,1,Imports,616,Poland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13613917676,,,0
