Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2012,201205,May 2012,0,0,4,Re-imports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40698201,,,0
HS,2020,202003,March 2020,0,0,1,Imports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6791533261,,,0
HS,2018,201807,July 2018,0,0,1,Imports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7675902091,,,0
HS,2018,201803,March 2018,0,0,2,Exports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6103826763,,,0
HS,2017,201703,March 2017,0,0,2,Exports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5586096539,,,0
HS,2019,201909,September 2019,0,0,1,Imports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7397744603,,,0
HS,2016,201607,July 2016,0,0,2,Exports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4939558891,,,0
HS,2018,201811,November 2018,0,0,2,Exports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5531188856,,,0
HS,2018,201805,May 2018,0,0,1,Imports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7477257946,,,0
HS,2018,201808,August 2018,0,0,1,Imports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6614123340,,,0
HS,2016,201602,February 2016,0,0,1,Imports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5219220612,,,0
HS,2018,201802,February 2018,0,0,1,Imports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6921920756,,,0
HS,2018,201803,March 2018,0,0,1,Imports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7734893404,,,0
HS,2017,201712,December 2017,0,0,2,Exports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4816138588,,,0
HS,2016,201605,May 2016,0,0,1,Imports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5864613237,,,0
HS,2017,201709,September 2017,0,0,2,Exports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5534644271,,,0
HS,2017,201708,August 2017,0,0,2,Exports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4667012789,,,0
HS,2016,201610,October 2016,0,0,2,Exports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4771276721,,,0
HS,2019,201904,April 2019,0,0,2,Exports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5604957174,,,0
HS,2019,201902,February 2019,0,0,1,Imports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7030714237,,,0
HS,2020,202005,May 2020,0,0,1,Imports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4723727164,,,0
HS,2019,201906,June 2019,0,0,2,Exports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5356331045,,,0
HS,2020,202007,July 2020,0,0,1,Imports,620,Portugal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6721485986,,,0
