Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201704,April 2017,0,0,2,Exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5168023791,,,0
HS,2017,201706,June 2017,0,0,2,Exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5054295970,,,0
HS,2014,201401,January 2014,0,0,1,Imports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2418569512,,,0
HS,2014,201401,January 2014,0,0,2,Exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12265939195,,,0
HS,2014,201401,January 2014,0,0,3,Re-exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,134451152,,,0
HS,2014,201402,February 2014,0,0,1,Imports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2274912435,,,0
HS,2014,201402,February 2014,0,0,2,Exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11823595499,,,0
HS,2014,201402,February 2014,0,0,3,Re-exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,102825965,,,0
HS,2014,201403,March 2014,0,0,1,Imports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2530636840,,,0
HS,2014,201403,March 2014,0,0,2,Exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12311235977,,,0
HS,2014,201403,March 2014,0,0,3,Re-exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,134405102,,,0
HS,2014,201404,April 2014,0,0,1,Imports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2425499713,,,0
HS,2014,201404,April 2014,0,0,2,Exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10938179711,,,0
HS,2014,201404,April 2014,0,0,3,Re-exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,147167288,,,0
HS,2014,201405,May 2014,0,0,1,Imports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2403087520,,,0
HS,2014,201405,May 2014,0,0,2,Exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11427935721,,,0
HS,2014,201405,May 2014,0,0,3,Re-exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,144689400,,,0
HS,2014,201406,June 2014,0,0,1,Imports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2492530532,,,0
HS,2014,201406,June 2014,0,0,2,Exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11393627149,,,0
HS,2014,201406,June 2014,0,0,3,Re-exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,147428522,,,0
HS,2014,201407,July 2014,0,0,1,Imports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2218888908,,,0
HS,2014,201407,July 2014,0,0,2,Exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11442275824,,,0
HS,2014,201407,July 2014,0,0,3,Re-exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,192649174,,,0
HS,2014,201408,August 2014,0,0,1,Imports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2560069640,,,0
HS,2014,201408,August 2014,0,0,2,Exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11249114253,,,0
HS,2014,201408,August 2014,0,0,3,Re-exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,171507839,,,0
HS,2014,201409,September 2014,0,0,1,Imports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2704314006,,,0
HS,2014,201409,September 2014,0,0,2,Exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10015499465,,,0
HS,2014,201409,September 2014,0,0,3,Re-exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,160178121,,,0
HS,2015,201501,January 2015,0,0,1,Imports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2666135106,,,0
HS,2015,201501,January 2015,0,0,2,Exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7420847027,,,0
HS,2015,201502,February 2015,0,0,1,Imports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2550336597,,,0
HS,2015,201502,February 2015,0,0,2,Exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6924901573,,,0
HS,2015,201503,March 2015,0,0,1,Imports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2837196890,,,0
HS,2015,201503,March 2015,0,0,2,Exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7010428532,,,0
HS,2015,201504,April 2015,0,0,1,Imports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2898952736,,,0
HS,2015,201504,April 2015,0,0,2,Exports,634,Qatar,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6622217831,,,0
