Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201702,February 2017,0,0,1,Imports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,36202594503,,,0
HS,2017,201702,February 2017,0,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,43154017078,,,0
HS,2015,201509,September 2015,0,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,43432275692,,,0
HS,2015,201506,June 2015,0,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,46554506123,,,0
HS,2019,201907,July 2019,0,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,46076536397,,,0
HS,2013,201304,April 2013,0,0,1,Imports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43646722348,,,0
HS,2013,201301,January 2013,0,0,1,Imports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45295918576,,,0
HS,2013,201301,January 2013,0,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45670225470,,,0
HS,2013,201302,February 2013,0,0,1,Imports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40457450707,,,0
HS,2013,201302,February 2013,0,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42331760851,,,0
HS,2013,201303,March 2013,0,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,47312655786,,,0
HS,2013,201303,March 2013,0,0,1,Imports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43975550820,,,0
HS,2013,201304,April 2013,0,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,46156612297,,,0
HS,2013,201305,May 2013,0,0,1,Imports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42388797341,,,0
HS,2013,201305,May 2013,0,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,48306820682,,,0
HS,2013,201306,June 2013,0,0,1,Imports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40718443839,,,0
HS,2013,201306,June 2013,0,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,46689966542,,,0
HS,2013,201307,July 2013,0,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45829515161,,,0
HS,2013,201307,July 2013,0,0,1,Imports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43383226422,,,0
HS,2013,201308,August 2013,0,0,1,Imports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41593159991,,,0
HS,2013,201308,August 2013,0,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,46311329258,,,0
HS,2013,201309,September 2013,0,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,44650449952,,,0
HS,2013,201309,September 2013,0,0,1,Imports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41054951076,,,0
HS,2013,201310,October 2013,0,0,1,Imports,410,Rep. of Korea,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45602590788,,,0
