Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201003,March 2010,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,51477004,,,0
HS,2010,201005,May 2010,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,49490158,,,0
HS,2010,201005,May 2010,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,379197,,,0
HS,2010,201006,June 2010,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,53003794,,,0
HS,2010,201001,January 2010,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39947203,,,0
HS,2011,201112,December 2011,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,84787354,,,0
HS,2011,201110,October 2011,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,86207877,,,0
HS,2011,201111,November 2011,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,328204,,,0
HS,2011,201106,June 2011,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,96419979,,,0
HS,2011,201105,May 2011,0,0,2,Exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,173589328,,,0
HS,2011,201105,May 2011,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,84960278,,,0
HS,2010,201008,August 2010,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,48340199,,,0
HS,2010,201008,August 2010,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,647177,,,0
HS,2010,201009,September 2010,0,0,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,344281064,,,0
HS,2011,201102,February 2011,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,63795196,,,0
HS,2010,201004,April 2010,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41372317,,,0
HS,2010,201004,April 2010,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,227184,,,0
HS,2011,201101,January 2011,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,356283,,,0
HS,2011,201103,March 2011,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,331637,,,0
HS,2010,201010,October 2010,0,0,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,372926768,,,0
HS,2010,201010,October 2010,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,55265385,,,0
HS,2010,201010,October 2010,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,475231,,,0
HS,2010,201011,November 2010,0,0,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,404748249,,,0
HS,2010,201011,November 2010,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,63951098,,,0
HS,2010,201011,November 2010,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,650614,,,0
HS,2010,201007,July 2010,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,56970259,,,0
HS,2010,201007,July 2010,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,244474,,,0
HS,2010,201012,December 2010,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,55457987,,,0
HS,2010,201012,December 2010,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,397568,,,0
HS,2012,201203,March 2012,0,0,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,475688657,,,0
HS,2012,201201,January 2012,0,0,2,Exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,147478664,,,0
HS,2012,201201,January 2012,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,64455439,,,0
HS,2012,201201,January 2012,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,719226,,,0
HS,2012,201202,February 2012,0,0,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,388819647,,,0
HS,2012,201202,February 2012,0,0,2,Exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,157888419,,,0
HS,2012,201202,February 2012,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,69769198,,,0
HS,2012,201202,February 2012,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,170960,,,0
HS,2012,201205,May 2012,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,56484932,,,0
HS,2012,201205,May 2012,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,371546,,,0
HS,2012,201206,June 2012,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,64732831,,,0
HS,2012,201206,June 2012,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,347667,,,0
HS,2012,201204,April 2012,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,76485530,,,0
HS,2012,201204,April 2012,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,439941,,,0
HS,2012,201203,March 2012,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,82578262,,,0
HS,2012,201209,September 2012,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,58748443,,,0
HS,2012,201209,September 2012,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,316824,,,0
HS,2012,201208,August 2012,0,0,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,406244424,,,0
HS,2012,201208,August 2012,0,0,2,Exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,156557086,,,0
HS,2012,201208,August 2012,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,54875332,,,0
HS,2012,201208,August 2012,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,412467,,,0
HS,2012,201207,July 2012,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,65229966,,,0
HS,2012,201207,July 2012,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,361117,,,0
HS,2014,201409,September 2014,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,60161783,,,0
HS,2012,201210,October 2012,0,0,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,496392560,,,0
HS,2012,201211,November 2012,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,58645331,,,0
HS,2012,201212,December 2012,0,0,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,504210212,,,0
HS,2012,201212,December 2012,0,0,2,Exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,187328618,,,0
HS,2012,201212,December 2012,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,53584247,,,0
HS,2012,201212,December 2012,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,320013,,,0
HS,2014,201402,February 2014,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,74515741,,,0
HS,2014,201407,July 2014,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,74236105,,,0
HS,2013,201302,February 2013,0,0,2,Exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,198797804,,,0
HS,2013,201302,February 2013,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,58927309,,,0
HS,2013,201303,March 2013,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,853558,,,0
HS,2013,201305,May 2013,0,0,2,Exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,165620463,,,0
HS,2013,201305,May 2013,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,256162,,,0
HS,2013,201306,June 2013,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,64235123,,,0
HS,2013,201308,August 2013,0,0,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,444066986,,,0
HS,2013,201309,September 2013,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,74397743,,,0
HS,2013,201311,November 2013,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,360142,,,0
HS,2014,201405,May 2014,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,79600170,,,0
HS,2014,201406,June 2014,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,79831389,,,0
HS,2015,201508,August 2015,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,245527,,,0
HS,2015,201509,September 2015,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,535073,,,0
HS,2015,201510,October 2015,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,325861,,,0
HS,2015,201512,December 2015,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,51283808,,,0
HS,2015,201512,December 2015,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,893460,,,0
HS,2016,201606,June 2016,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,62370443,,,0
HS,2016,201606,June 2016,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1348273,,,0
HS,2018,201805,May 2018,0,0,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,505465691,,,0
HS,2016,201605,May 2016,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,55420940,,,0
HS,2016,201608,August 2016,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1116543,,,0
HS,2016,201609,September 2016,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,61660976,,,0
HS,2016,201610,October 2016,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,60641737,,,0
HS,2018,201812,December 2018,0,0,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,519511698,,,0
HS,2017,201707,July 2017,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,70313890,,,0
HS,2018,201812,December 2018,0,0,2,Exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,218944217,,,0
HS,2018,201812,December 2018,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,63348631,,,0
HS,2018,201811,November 2018,0,0,2,Exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,268842090,,,0
HS,2017,201705,May 2017,0,0,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,400447589,,,0
HS,2017,201704,April 2017,0,0,4,Re-imports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,649688,,,0
HS,2017,201711,November 2017,0,0,2,Exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,272105232,,,0
HS,2017,201711,November 2017,0,0,3,Re-exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,65333061,,,0
HS,2017,201709,September 2017,0,0,2,Exports,498,Rep. of Moldova,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,223877177,,,0
