Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201101,January 2011,0,0,1,Imports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4823531817,,,0
HS,2012,201209,September 2012,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4887244876,,,0
HS,2012,201210,October 2012,0,0,1,Imports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6889137033,,,0
HS,2017,201705,May 2017,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6118533955,,,0
HS,2021,202109,September 2021,0,0,1,Imports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9972084778,,,0
HS,2020,202004,April 2020,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3197472858,,,0
HS,2017,201707,July 2017,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5965056170,,,0
HS,2017,201703,March 2017,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6101491363,,,0
HS,2017,201704,April 2017,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5125265146,,,0
HS,2017,201711,November 2017,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6789896125,,,0
HS,2020,202005,May 2020,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4091690000,,,0
HS,2017,201710,October 2017,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6810588835,,,0
HS,2020,202002,February 2020,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6501068007,,,0
HS,2018,201805,May 2018,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7016192951,,,0
HS,2017,201708,August 2017,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5777527334,,,0
HS,2018,201810,October 2018,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7310850541,,,0
HS,2018,201811,November 2018,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6757110289,,,0
HS,2019,201907,July 2019,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6560993107,,,0
HS,2019,201910,October 2019,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6995276719,,,0
HS,2020,202009,September 2020,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7175958446,,,0
HS,2020,202010,October 2020,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7360501546,,,0
HS,2020,202007,July 2020,0,0,2,Exports,642,Romania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6331640411,,,0
