Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201810,October 2018,0,0,1,Imports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,21049880815,,,0
HS,2014,201408,August 2014,0,0,2,Exports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41472940315,,,0
HS,2014,201411,November 2014,0,0,2,Exports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36794030745,,,0
HS,2014,201405,May 2014,0,0,1,Imports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24337599335,,,0
HS,2014,201401,January 2014,0,0,1,Imports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18926578677,,,0
HS,2013,201301,January 2013,0,0,1,Imports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19804830027,,,0
HS,2013,201301,January 2013,0,0,2,Exports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,38989097505,,,0
HS,2013,201301,January 2013,0,0,4,Re-imports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,59165816,,,0
HS,2014,201405,May 2014,0,0,2,Exports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,44316505804,,,0
HS,2014,201402,February 2014,0,0,2,Exports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36016636998,,,0
HS,2014,201402,February 2014,0,0,1,Imports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,22317992686,,,0
HS,2014,201410,October 2014,0,0,1,Imports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24963771153,,,0
HS,2013,201302,February 2013,0,0,1,Imports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24630948384,,,0
HS,2013,201302,February 2013,0,0,2,Exports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42582693941,,,0
HS,2013,201302,February 2013,0,0,4,Re-imports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,65987281,,,0
HS,2013,201303,March 2013,0,0,1,Imports,643,Russian Federation,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26607091645,,,0
