Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2012,201210,October 2012,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,131968821,,,0
HS,2012,201210,October 2012,0,0,2,Exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,35681837,,,0
HS,2012,201210,October 2012,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1883877,,,0
HS,2013,201302,February 2013,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,137065305,,,0
HS,2013,201308,August 2013,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,156054284,,,0
HS,2013,201308,August 2013,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9711812,,,0
HS,2014,201401,January 2014,0,0,2,Exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,40610786,,,0
HS,2014,201402,February 2014,0,0,2,Exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,44573022,,,0
HS,2014,201403,March 2014,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12174341,,,0
HS,2014,201404,April 2014,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,162421067,,,0
HS,2014,201406,June 2014,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,186282739,,,0
HS,2014,201407,July 2014,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,176048375,,,0
HS,2014,201408,August 2014,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,230136083,,,0
HS,2014,201411,November 2014,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11222682,,,0
HS,2014,201412,December 2014,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,175939852,,,0
HS,2015,201503,March 2015,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,193893626,,,0
HS,2015,201507,July 2015,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12532807,,,0
HS,2015,201510,October 2015,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,246725109,,,0
HS,2015,201510,October 2015,0,0,2,Exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,47839337,,,0
HS,2016,201601,January 2016,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,188766762,,,0
HS,2016,201602,February 2016,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12361771,,,0
HS,2016,201604,April 2016,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17894757,,,0
HS,2016,201605,May 2016,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,206799709,,,0
HS,2016,201608,August 2016,0,0,2,Exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,57376183,,,0
HS,2016,201609,September 2016,0,0,2,Exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,51345591,,,0
HS,2016,201610,October 2016,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,191605273,,,0
HS,2016,201612,December 2016,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,22401079,,,0
HS,2017,201701,January 2017,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,203484923,,,0
HS,2017,201703,March 2017,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,215802813,,,0
HS,2017,201705,May 2017,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,25749025,,,0
HS,2017,201708,August 2017,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,238156050,,,0
HS,2017,201709,September 2017,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,23865941,,,0
HS,2017,201711,November 2017,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,242268896,,,0
HS,2017,201711,November 2017,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,25626011,,,0
HS,2018,201804,April 2018,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,208384440,,,0
HS,2018,201804,April 2018,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,25272520,,,0
HS,2018,201805,May 2018,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,235995459,,,0
HS,2018,201805,May 2018,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,27452039,,,0
HS,2018,201808,August 2018,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,24964424,,,0
HS,2018,201812,December 2018,0,0,2,Exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,75116745,,,0
HS,2018,201812,December 2018,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,24649800,,,0
HS,2019,201904,April 2019,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,227645177,,,0
HS,2019,201907,July 2019,0,0,2,Exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,99115572,,,0
HS,2019,201907,July 2019,0,0,3,Re-exports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,29702343,,,0
HS,2019,201910,October 2019,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,301173768,,,0
HS,2019,201911,November 2019,0,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,282674437,,,0
