Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201505,May 2015,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2013127,,,0
HS,2015,201505,May 2015,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,383307,,,0
HS,2015,201511,November 2015,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32118057,,,0
HS,2015,201512,December 2015,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,368120,,,0
HS,2016,201601,January 2016,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,416165,,,0
HS,2016,201602,February 2016,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,30076346,,,0
HS,2016,201604,April 2016,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4389840,,,0
HS,2016,201604,April 2016,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1328469,,,0
HS,2016,201610,October 2016,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2416736,,,0
HS,2017,201703,March 2017,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,27118143,,,0
HS,2017,201711,November 2017,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,34475727,,,0
HS,2015,201501,January 2015,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,30351977,,,0
HS,2015,201501,January 2015,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2476510,,,0
HS,2015,201501,January 2015,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,380890,,,0
HS,2015,201502,February 2015,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16925098,,,0
HS,2015,201502,February 2015,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2208565,,,0
HS,2015,201502,February 2015,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,244619,,,0
HS,2015,201503,March 2015,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,23078883,,,0
HS,2015,201503,March 2015,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3386908,,,0
HS,2015,201503,March 2015,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,520919,,,0
HS,2015,201504,April 2015,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,21706352,,,0
HS,2015,201504,April 2015,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2349753,,,0
HS,2015,201504,April 2015,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,493509,,,0
HS,2015,201505,May 2015,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,24467939,,,0
HS,2015,201506,June 2015,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,27757940,,,0
HS,2015,201506,June 2015,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2871129,,,0
HS,2015,201506,June 2015,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,345018,,,0
HS,2015,201507,July 2015,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13697740,,,0
HS,2015,201507,July 2015,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2155414,,,0
HS,2015,201507,July 2015,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,696312,,,0
HS,2015,201508,August 2015,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14255741,,,0
HS,2015,201508,August 2015,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3150986,,,0
HS,2015,201508,August 2015,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1172481,,,0
HS,2015,201509,September 2015,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,24335263,,,0
HS,2015,201509,September 2015,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2908975,,,0
HS,2015,201509,September 2015,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,348195,,,0
HS,2015,201510,October 2015,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,29871696,,,0
HS,2015,201510,October 2015,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2645196,,,0
HS,2015,201510,October 2015,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,867644,,,0
HS,2015,201511,November 2015,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3331062,,,0
HS,2015,201511,November 2015,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,400535,,,0
HS,2015,201512,December 2015,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,38501984,,,0
HS,2015,201512,December 2015,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2202872,,,0
HS,2016,201601,January 2016,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,24819389,,,0
HS,2016,201601,January 2016,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1734427,,,0
HS,2016,201602,February 2016,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4025204,,,0
HS,2016,201602,February 2016,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1887510,,,0
HS,2016,201603,March 2016,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,28346356,,,0
HS,2016,201603,March 2016,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2561865,,,0
HS,2016,201603,March 2016,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,219325,,,0
HS,2016,201604,April 2016,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,29424638,,,0
HS,2016,201605,May 2016,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,27120532,,,0
HS,2016,201605,May 2016,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3211843,,,0
HS,2016,201605,May 2016,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,928169,,,0
HS,2016,201606,June 2016,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,27633437,,,0
HS,2016,201606,June 2016,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5744681,,,0
HS,2016,201606,June 2016,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3139615,,,0
HS,2016,201607,July 2016,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,25916279,,,0
HS,2016,201607,July 2016,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3132349,,,0
HS,2016,201607,July 2016,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,813157,,,0
HS,2016,201608,August 2016,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,25034217,,,0
HS,2016,201608,August 2016,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3395114,,,0
HS,2016,201608,August 2016,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,424627,,,0
HS,2016,201609,September 2016,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,23086734,,,0
HS,2016,201609,September 2016,0,0,2,Exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2330764,,,0
HS,2016,201609,September 2016,0,0,3,Re-exports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,358300,,,0
HS,2016,201610,October 2016,0,0,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,28648356,,,0
