Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201604,April 2016,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,28303960,,,0
HS,2011,201101,January 2011,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27215844,,,0
HS,2011,201101,January 2011,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2169845,,,0
HS,2011,201101,January 2011,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,224044,,,0
HS,2011,201102,February 2011,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32257151,,,0
HS,2011,201102,February 2011,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2678358,,,0
HS,2011,201102,February 2011,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,427887,,,0
HS,2011,201103,March 2011,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40591277,,,0
HS,2011,201103,March 2011,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3444953,,,0
HS,2011,201103,March 2011,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,740249,,,0
HS,2011,201103,March 2011,0,0,4,Re-imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39888,,,0
HS,2015,201501,January 2015,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27217547,,,0
HS,2015,201501,January 2015,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3331562,,,0
HS,2015,201501,January 2015,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,186483,,,0
HS,2015,201502,February 2015,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18756754,,,0
HS,2015,201502,February 2015,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3404265,,,0
HS,2015,201502,February 2015,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,242520,,,0
HS,2015,201503,March 2015,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,28657538,,,0
HS,2015,201503,March 2015,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3742582,,,0
HS,2015,201503,March 2015,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,318035,,,0
HS,2015,201504,April 2015,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21142612,,,0
HS,2015,201504,April 2015,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4782395,,,0
HS,2015,201504,April 2015,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1273666,,,0
HS,2015,201505,May 2015,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29998545,,,0
HS,2015,201505,May 2015,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3053701,,,0
HS,2015,201505,May 2015,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,123550,,,0
HS,2015,201506,June 2015,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29367311,,,0
HS,2015,201506,June 2015,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4538806,,,0
HS,2015,201506,June 2015,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,162693,,,0
HS,2015,201507,July 2015,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,30793766,,,0
HS,2015,201507,July 2015,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3440694,,,0
HS,2015,201507,July 2015,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,142648,,,0
HS,2015,201508,August 2015,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23731695,,,0
HS,2015,201508,August 2015,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3593146,,,0
HS,2015,201508,August 2015,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,297061,,,0
HS,2015,201509,September 2015,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26773587,,,0
HS,2015,201509,September 2015,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3556068,,,0
HS,2015,201509,September 2015,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,270545,,,0
HS,2015,201510,October 2015,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26486366,,,0
HS,2015,201510,October 2015,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4624566,,,0
HS,2015,201510,October 2015,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,590100,,,0
HS,2015,201511,November 2015,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40112232,,,0
HS,2015,201511,November 2015,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4238016,,,0
HS,2015,201511,November 2015,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,284884,,,0
HS,2015,201512,December 2015,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,30672172,,,0
HS,2015,201512,December 2015,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3447559,,,0
HS,2015,201512,December 2015,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,153480,,,0
HS,2016,201601,January 2016,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27107690,,,0
HS,2016,201601,January 2016,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2799659,,,0
HS,2016,201601,January 2016,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,164113,,,0
HS,2016,201602,February 2016,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26983225,,,0
HS,2016,201602,February 2016,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3720689,,,0
HS,2016,201602,February 2016,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,130837,,,0
HS,2016,201603,March 2016,0,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24936952,,,0
HS,2016,201603,March 2016,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3068452,,,0
HS,2016,201603,March 2016,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,199508,,,0
HS,2016,201604,April 2016,0,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3751643,,,0
HS,2016,201604,April 2016,0,0,3,Re-exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,675645,,,0
