Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201408,August 2014,0,0,1,Imports,882,Samoa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40406267,,,0
HS,2018,201805,May 2018,0,0,1,Imports,882,Samoa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31090533,,,0
HS,2018,201808,August 2018,0,0,1,Imports,882,Samoa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35670199,,,0
HS,2014,201401,January 2014,0,0,1,Imports,882,Samoa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32138850,,,0
HS,2014,201401,January 2014,0,0,2,Exports,882,Samoa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2315735,,,0
HS,2014,201401,January 2014,0,0,3,Re-exports,882,Samoa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1166630,,,0
HS,2014,201402,February 2014,0,0,1,Imports,882,Samoa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32708392,,,0
HS,2014,201402,February 2014,0,0,2,Exports,882,Samoa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3201571,,,0
HS,2014,201402,February 2014,0,0,3,Re-exports,882,Samoa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1328878,,,0
HS,2014,201403,March 2014,0,0,1,Imports,882,Samoa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21768641,,,0
HS,2014,201403,March 2014,0,0,2,Exports,882,Samoa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4503713,,,0
