Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201703,March 2017,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,682855,,,0
HS,2017,201710,October 2017,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2310679,,,0
HS,2017,201711,November 2017,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,596601,,,0
HS,2018,201802,February 2018,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9685233,,,0
HS,2018,201802,February 2018,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,487177,,,0
HS,2018,201803,March 2018,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,207290,,,0
HS,2019,201905,May 2019,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13676985,,,0
HS,2019,201909,September 2019,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11375762,,,0
HS,2020,202010,October 2020,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2236835,,,0
HS,2021,202104,April 2021,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14796668,,,0
HS,2021,202107,July 2021,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11584439,,,0
HS,2010,201001,January 2010,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14792800,,,0
HS,2010,201001,January 2010,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,55548,,,0
HS,2010,201001,January 2010,0,0,3,Re-exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5842,,,0
HS,2010,201002,February 2010,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7295088,,,0
HS,2010,201002,February 2010,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,152830,,,0
HS,2010,201002,February 2010,0,0,3,Re-exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24760,,,0
HS,2010,201003,March 2010,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5247061,,,0
HS,2010,201003,March 2010,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,485521,,,0
HS,2013,201301,January 2013,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13451902,,,0
HS,2013,201301,January 2013,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,469198,,,0
HS,2013,201302,February 2013,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11438568,,,0
HS,2013,201302,February 2013,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,351580,,,0
HS,2013,201303,March 2013,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13009080,,,0
HS,2013,201303,March 2013,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,53451,,,0
HS,2013,201304,April 2013,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11693107,,,0
HS,2013,201304,April 2013,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,376156,,,0
HS,2013,201305,May 2013,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13297152,,,0
HS,2013,201305,May 2013,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,415210,,,0
HS,2013,201306,June 2013,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10492609,,,0
HS,2013,201306,June 2013,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,311265,,,0
HS,2013,201307,July 2013,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11363493,,,0
HS,2013,201307,July 2013,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,100918,,,0
HS,2013,201308,August 2013,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13240653,,,0
HS,2013,201308,August 2013,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,927992,,,0
HS,2013,201309,September 2013,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7235637,,,0
HS,2013,201309,September 2013,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,984903,,,0
HS,2013,201310,October 2013,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15224648,,,0
HS,2013,201310,October 2013,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1127386,,,0
HS,2013,201311,November 2013,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13709519,,,0
HS,2013,201311,November 2013,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1033976,,,0
HS,2013,201312,December 2013,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18033834,,,0
HS,2013,201312,December 2013,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,800489,,,0
HS,2015,201501,January 2015,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9512359,,,0
HS,2015,201501,January 2015,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,186890,,,0
HS,2016,201601,January 2016,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11106552,,,0
HS,2016,201601,January 2016,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,502734,,,0
HS,2016,201602,February 2016,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9146157,,,0
HS,2016,201602,February 2016,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,616782,,,0
HS,2016,201603,March 2016,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11225505,,,0
HS,2016,201603,March 2016,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,917075,,,0
HS,2016,201604,April 2016,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8168058,,,0
HS,2016,201604,April 2016,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12445,,,0
HS,2016,201605,May 2016,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16475723,,,0
HS,2016,201605,May 2016,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1099012,,,0
HS,2016,201606,June 2016,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8985660,,,0
HS,2016,201606,June 2016,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,343340,,,0
HS,2016,201607,July 2016,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12832183,,,0
HS,2016,201607,July 2016,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,692793,,,0
HS,2016,201608,August 2016,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12477772,,,0
HS,2016,201608,August 2016,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,383320,,,0
HS,2016,201609,September 2016,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14079144,,,0
HS,2016,201609,September 2016,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1880084,,,0
HS,2016,201610,October 2016,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10181223,,,0
HS,2016,201610,October 2016,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1964847,,,0
HS,2016,201611,November 2016,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12885023,,,0
HS,2016,201611,November 2016,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1078034,,,0
HS,2016,201612,December 2016,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12273219,,,0
HS,2016,201612,December 2016,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1005519,,,0
HS,2017,201701,January 2017,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,8752162,,,0
HS,2017,201701,January 2017,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,662226,,,0
HS,2017,201702,February 2017,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5352184,,,0
HS,2017,201702,February 2017,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,330217,,,0
HS,2017,201703,March 2017,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14552484,,,0
HS,2017,201704,April 2017,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14892853,,,0
HS,2017,201704,April 2017,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,706771,,,0
HS,2017,201705,May 2017,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14383525,,,0
HS,2017,201705,May 2017,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,726270,,,0
HS,2017,201706,June 2017,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16018626,,,0
HS,2017,201706,June 2017,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,874943,,,0
HS,2017,201707,July 2017,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9986582,,,0
HS,2017,201707,July 2017,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,669508,,,0
HS,2017,201708,August 2017,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13827673,,,0
HS,2017,201708,August 2017,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1015391,,,0
HS,2017,201709,September 2017,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14139754,,,0
HS,2017,201709,September 2017,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,728324,,,0
HS,2017,201710,October 2017,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14405391,,,0
HS,2017,201711,November 2017,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11816239,,,0
HS,2017,201712,December 2017,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12829244,,,0
HS,2017,201712,December 2017,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1635410,,,0
HS,2018,201801,January 2018,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12172947,,,0
HS,2018,201801,January 2018,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,160833,,,0
HS,2018,201803,March 2018,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12585468,,,0
HS,2018,201804,April 2018,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12122681,,,0
HS,2018,201804,April 2018,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,944474,,,0
HS,2018,201805,May 2018,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13445440,,,0
HS,2018,201805,May 2018,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1275105,,,0
HS,2018,201806,June 2018,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12278505,,,0
HS,2018,201806,June 2018,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,285225,,,0
HS,2018,201807,July 2018,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12139783,,,0
HS,2018,201807,July 2018,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,932191,,,0
HS,2018,201808,August 2018,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11725360,,,0
HS,2018,201808,August 2018,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,816167,,,0
HS,2018,201809,September 2018,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12996295,,,0
HS,2018,201809,September 2018,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,522454,,,0
HS,2018,201810,October 2018,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14348348,,,0
HS,2018,201810,October 2018,0,0,2,Exports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2938420,,,0
HS,2018,201810,October 2018,0,0,4,Re-imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,115,,,0
HS,2018,201811,November 2018,0,0,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13120329,,,0
