Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201505,May 2015,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16944301889,,,0
HS,2015,201510,October 2015,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15702500905,,,0
HS,2016,201607,July 2016,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9932405215,,,0
HS,2016,201610,October 2016,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11434037759,,,0
HS,2015,201501,January 2015,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13852859876,,,0
HS,2015,201501,January 2015,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17178369115,,,0
HS,2015,201501,January 2015,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,817365061,,,0
HS,2015,201502,February 2015,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14060434901,,,0
HS,2015,201502,February 2015,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16620132558,,,0
HS,2015,201502,February 2015,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,627454116,,,0
HS,2015,201503,March 2015,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15787388745,,,0
HS,2015,201503,March 2015,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17169053912,,,0
HS,2015,201503,March 2015,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,765002543,,,0
HS,2015,201504,April 2015,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14936760309,,,0
HS,2015,201504,April 2015,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17142508463,,,0
HS,2015,201504,April 2015,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,769933662,,,0
HS,2015,201505,May 2015,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15232259613,,,0
HS,2015,201505,May 2015,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,606762960,,,0
HS,2015,201506,June 2015,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15088559049,,,0
HS,2015,201506,June 2015,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16992547067,,,0
HS,2015,201506,June 2015,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,528184170,,,0
HS,2015,201507,July 2015,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13277259189,,,0
HS,2015,201507,July 2015,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17096215475,,,0
HS,2015,201507,July 2015,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,719284647,,,0
HS,2015,201508,August 2015,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15824714106,,,0
HS,2015,201508,August 2015,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17109685247,,,0
HS,2015,201508,August 2015,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,734286189,,,0
HS,2015,201509,September 2015,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12882384446,,,0
HS,2015,201509,September 2015,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16384069867,,,0
HS,2015,201509,September 2015,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,552249112,,,0
HS,2015,201510,October 2015,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16877168511,,,0
HS,2015,201510,October 2015,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,736568104,,,0
HS,2015,201511,November 2015,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13654215754,,,0
HS,2015,201511,November 2015,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16991108048,,,0
HS,2015,201511,November 2015,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,838662434,,,0
HS,2015,201512,December 2015,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14486239644,,,0
HS,2015,201512,December 2015,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17208538456,,,0
HS,2015,201512,December 2015,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,941328070,,,0
HS,2016,201601,January 2016,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13176557271,,,0
HS,2016,201601,January 2016,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14815910786,,,0
HS,2016,201601,January 2016,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,679636938,,,0
HS,2016,201602,February 2016,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12085803107,,,0
HS,2016,201602,February 2016,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15091848465,,,0
HS,2016,201602,February 2016,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,727584732,,,0
HS,2016,201603,March 2016,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12897584389,,,0
HS,2016,201603,March 2016,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15616015520,,,0
HS,2016,201603,March 2016,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,780489864,,,0
HS,2016,201604,April 2016,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11795907812,,,0
HS,2016,201604,April 2016,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15134925052,,,0
HS,2016,201604,April 2016,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,635117683,,,0
HS,2016,201605,May 2016,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13123331604,,,0
HS,2016,201605,May 2016,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15769227978,,,0
HS,2016,201605,May 2016,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,864211836,,,0
HS,2016,201606,June 2016,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12314351393,,,0
HS,2016,201606,June 2016,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15313496475,,,0
HS,2016,201606,June 2016,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,677626803,,,0
HS,2016,201607,July 2016,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14666516733,,,0
HS,2016,201607,July 2016,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,374027223,,,0
HS,2016,201608,August 2016,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12026057966,,,0
HS,2016,201608,August 2016,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15641850486,,,0
HS,2016,201608,August 2016,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,637817419,,,0
HS,2016,201609,September 2016,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9319739650,,,0
HS,2016,201609,September 2016,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14959622166,,,0
HS,2016,201609,September 2016,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,558606654,,,0
HS,2016,201610,October 2016,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15568522127,,,0
HS,2016,201610,October 2016,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,705008703,,,0
HS,2016,201611,November 2016,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11285720507,,,0
HS,2016,201611,November 2016,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15416316070,,,0
HS,2016,201611,November 2016,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,630574744,,,0
HS,2016,201612,December 2016,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10777753206,,,0
HS,2016,201612,December 2016,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15588190685,,,0
HS,2016,201612,December 2016,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,691083619,,,0
HS,2017,201701,January 2017,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12004393672,,,0
HS,2017,201701,January 2017,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18076360373,,,0
HS,2017,201701,January 2017,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,526935059,,,0
HS,2017,201702,February 2017,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10453875467,,,0
HS,2017,201702,February 2017,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17722882065,,,0
HS,2017,201702,February 2017,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,503094229,,,0
HS,2017,201703,March 2017,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11023888180,,,0
HS,2017,201703,March 2017,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,18721648913,,,0
HS,2017,201703,March 2017,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,742038794,,,0
HS,2017,201704,April 2017,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11778946724,,,0
HS,2017,201704,April 2017,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,18248043521,,,0
HS,2017,201704,April 2017,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,643069070,,,0
HS,2017,201705,May 2017,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12455160353,,,0
HS,2017,201705,May 2017,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,18528791812,,,0
HS,2017,201705,May 2017,0,0,3,Re-exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,755540078,,,0
HS,2017,201706,June 2017,0,0,1,Imports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9351885662,,,0
HS,2017,201706,June 2017,0,0,2,Exports,682,Saudi Arabia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17702354152,,,0
