Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201002,February 2010,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,412362360,,,0
HS,2010,201004,April 2010,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,316285537,,,0
HS,2010,201006,June 2010,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,284761853,,,0
HS,2010,201009,September 2010,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,156863390,,,0
HS,2011,201112,December 2011,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,590187940,,,0
HS,2012,201201,January 2012,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,223200035,,,0
HS,2017,201706,June 2017,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,265993659,,,0
HS,2017,201709,September 2017,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,587561360,,,0
HS,2017,201710,October 2017,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,671581768,,,0
HS,2017,201711,November 2017,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,573642825,,,0
HS,2018,201801,January 2018,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,761479218,,,0
HS,2018,201805,May 2018,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,711083463,,,0
HS,2019,201901,January 2019,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,397051988,,,0
HS,2019,201912,December 2019,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,753967099,,,0
HS,2010,201001,January 2010,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,377569387,,,0
HS,2010,201001,January 2010,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,160790715,,,0
HS,2010,201002,February 2010,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,150627584,,,0
HS,2010,201003,March 2010,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,466309984,,,0
HS,2010,201003,March 2010,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,224395586,,,0
HS,2010,201004,April 2010,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,199432207,,,0
HS,2010,201005,May 2010,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,436493271,,,0
HS,2010,201005,May 2010,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,151753698,,,0
HS,2010,201006,June 2010,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,183361317,,,0
HS,2010,201007,July 2010,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,497939269,,,0
HS,2010,201007,July 2010,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,169460544,,,0
HS,2010,201008,August 2010,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,358040608,,,0
HS,2010,201008,August 2010,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,171211308,,,0
HS,2010,201009,September 2010,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,450385682,,,0
HS,2010,201010,October 2010,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,354915591,,,0
HS,2010,201010,October 2010,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,155854441,,,0
HS,2010,201011,November 2010,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,343255835,,,0
HS,2010,201011,November 2010,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,190195000,,,0
HS,2010,201012,December 2010,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,482537952,,,0
HS,2010,201012,December 2010,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,203488005,,,0
HS,2011,201101,January 2011,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,438237776,,,0
HS,2011,201101,January 2011,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,228679386,,,0
HS,2011,201102,February 2011,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,267874576,,,0
HS,2011,201102,February 2011,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,191679596,,,0
HS,2011,201103,March 2011,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,647565407,,,0
HS,2011,201103,March 2011,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,212804316,,,0
HS,2011,201104,April 2011,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,342712238,,,0
HS,2011,201104,April 2011,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,253089805,,,0
HS,2011,201105,May 2011,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,538347438,,,0
HS,2011,201105,May 2011,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,224917481,,,0
HS,2011,201106,June 2011,0,0,1,Imports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,321609860,,,0
HS,2011,201106,June 2011,0,0,2,Exports,686,Senegal,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,186862661,,,0
