Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201008,August 2010,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1357748538,,,0
HS,2010,201001,January 2010,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1053685793,,,0
HS,2010,201004,April 2010,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1306622056,,,0
HS,2010,201010,October 2010,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1409772677,,,0
HS,2011,201102,February 2011,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1419624127,,,0
HS,2011,201108,August 2011,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1550022950,,,0
HS,2021,202107,July 2021,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2924493499,,,0
HS,2021,202107,July 2021,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2199610863,,,0
HS,2019,201903,March 2019,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2333258629,,,0
HS,2019,201903,March 2019,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1759976772,,,0
HS,2019,201906,June 2019,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2122435481,,,0
HS,2017,201707,July 2017,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1816068822,,,0
HS,2017,201707,July 2017,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1412848971,,,0
HS,2018,201811,November 2018,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2221740034,,,0
HS,2018,201811,November 2018,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1647686627,,,0
HS,2017,201702,February 2017,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1579264160,,,0
HS,2017,201702,February 2017,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1213426279,,,0
HS,2019,201901,January 2019,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1914288169,,,0
HS,2017,201705,May 2017,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1939147464,,,0
HS,2017,201705,May 2017,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1465154807,,,0
HS,2019,201902,February 2019,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2067557281,,,0
HS,2019,201902,February 2019,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1533358496,,,0
HS,2017,201711,November 2017,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2078622668,,,0
HS,2017,201711,November 2017,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1530709385,,,0
HS,2017,201701,January 2017,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1315022364,,,0
HS,2017,201704,April 2017,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1637386021,,,0
HS,2017,201704,April 2017,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1332506552,,,0
HS,2017,201706,June 2017,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1918456826,,,0
HS,2017,201712,December 2017,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2040090593,,,0
HS,2017,201712,December 2017,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1396083707,,,0
HS,2018,201812,December 2018,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2141927202,,,0
HS,2018,201812,December 2018,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1386361975,,,0
HS,2019,201911,November 2019,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2315570560,,,0
HS,2019,201911,November 2019,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1745592451,,,0
HS,2018,201807,July 2018,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2158882721,,,0
HS,2018,201807,July 2018,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1638525374,,,0
HS,2018,201803,March 2018,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2419916953,,,0
HS,2018,201803,March 2018,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1795727916,,,0
HS,2018,201810,October 2018,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2457971995,,,0
HS,2018,201810,October 2018,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1705333257,,,0
HS,2019,201904,April 2019,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2214811272,,,0
HS,2019,201904,April 2019,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1592767067,,,0
HS,2019,201907,July 2019,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2451965180,,,0
HS,2019,201907,July 2019,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1744193975,,,0
HS,2020,202001,January 2020,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2010369278,,,0
HS,2020,202001,January 2020,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1498287224,,,0
HS,2019,201912,December 2019,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2544122677,,,0
HS,2020,202011,November 2020,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2606505604,,,0
HS,2020,202011,November 2020,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1904978812,,,0
HS,2019,201908,August 2019,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1985196965,,,0
HS,2019,201908,August 2019,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1508658790,,,0
HS,2020,202003,March 2020,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2348206667,,,0
HS,2020,202003,March 2020,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1543542140,,,0
HS,2020,202010,October 2020,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2458648881,,,0
HS,2020,202010,October 2020,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1950613076,,,0
HS,2020,202009,September 2020,0,0,1,Imports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2421457658,,,0
HS,2020,202009,September 2020,0,0,2,Exports,688,Serbia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1863737254,,,0
