Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201509,September 2015,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32408155,,,0
HS,2015,201509,September 2015,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11361643,,,0
HS,2015,201512,December 2015,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24291732,,,0
HS,2015,201512,December 2015,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11580337,,,0
HS,2017,201712,December 2017,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,111371925,,,0
HS,2015,201501,January 2015,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,72061674,,,0
HS,2015,201501,January 2015,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37242457,,,0
HS,2015,201501,January 2015,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14496223,,,0
HS,2015,201502,February 2015,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,87475561,,,0
HS,2015,201502,February 2015,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,77572845,,,0
HS,2015,201502,February 2015,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11666977,,,0
HS,2015,201503,March 2015,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,113904231,,,0
HS,2015,201503,March 2015,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43543054,,,0
HS,2015,201503,March 2015,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12073105,,,0
HS,2015,201504,April 2015,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,85970958,,,0
HS,2015,201504,April 2015,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33871838,,,0
HS,2015,201504,April 2015,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10182964,,,0
HS,2015,201505,May 2015,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,94103283,,,0
HS,2015,201505,May 2015,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39499253,,,0
HS,2015,201505,May 2015,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11498609,,,0
HS,2015,201506,June 2015,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,76135540,,,0
HS,2015,201506,June 2015,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29867975,,,0
HS,2015,201506,June 2015,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11556233,,,0
HS,2015,201507,July 2015,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,60524373,,,0
HS,2015,201507,July 2015,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39433474,,,0
HS,2015,201507,July 2015,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14028050,,,0
HS,2015,201508,August 2015,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,80624281,,,0
HS,2015,201508,August 2015,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35634744,,,0
HS,2015,201508,August 2015,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9934383,,,0
HS,2015,201509,September 2015,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,71499492,,,0
HS,2015,201510,October 2015,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,81698626,,,0
HS,2015,201510,October 2015,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41819996,,,0
HS,2015,201510,October 2015,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12308663,,,0
HS,2015,201511,November 2015,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,84626569,,,0
HS,2015,201511,November 2015,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,38663885,,,0
HS,2015,201511,November 2015,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13213816,,,0
HS,2015,201512,December 2015,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,66623218,,,0
HS,2016,201601,January 2016,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,75619015,,,0
HS,2016,201601,January 2016,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,29109476,,,0
HS,2016,201601,January 2016,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10050315,,,0
HS,2016,201602,February 2016,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,80232293,,,0
HS,2016,201602,February 2016,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,39338380,,,0
HS,2016,201602,February 2016,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9852060,,,0
HS,2016,201603,March 2016,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,74638168,,,0
HS,2016,201603,March 2016,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,41739121,,,0
HS,2016,201603,March 2016,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11539653,,,0
HS,2016,201604,April 2016,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,84742576,,,0
HS,2016,201604,April 2016,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41599896,,,0
HS,2016,201604,April 2016,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9064154,,,0
HS,2016,201605,May 2016,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,139376114,,,0
HS,2016,201605,May 2016,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,45900969,,,0
HS,2016,201605,May 2016,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17733664,,,0
HS,2016,201606,June 2016,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,82280382,,,0
HS,2016,201606,June 2016,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,34517131,,,0
HS,2016,201606,June 2016,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9240400,,,0
HS,2016,201607,July 2016,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,92369810,,,0
HS,2016,201607,July 2016,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,46656493,,,0
HS,2016,201607,July 2016,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12147506,,,0
HS,2016,201608,August 2016,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,87270710,,,0
HS,2016,201608,August 2016,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,35946760,,,0
HS,2016,201608,August 2016,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11162241,,,0
HS,2016,201609,September 2016,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,85479914,,,0
HS,2016,201609,September 2016,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,45104986,,,0
HS,2016,201609,September 2016,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11633932,,,0
HS,2016,201610,October 2016,0,0,1,Imports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,82556658,,,0
HS,2016,201610,October 2016,0,0,2,Exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,39821279,,,0
HS,2016,201610,October 2016,0,0,3,Re-exports,690,Seychelles,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11705906,,,0
