Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201111,November 2011,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41697447800,,,0
HS,2011,201111,November 2011,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42933845987,,,0
HS,2017,201702,February 2017,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23344624733,,,0
HS,2018,201805,May 2018,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32036893665,,,0
HS,2016,201607,July 2016,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,28252250739,,,0
HS,2016,201608,August 2016,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,28667780180,,,0
HS,2016,201609,September 2016,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29200165725,,,0
HS,2020,202007,July 2020,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,30907665870,,,0
HS,2020,202005,May 2020,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25727967400,,,0
HS,2010,201001,January 2010,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,30916364441,,,0
HS,2010,201008,August 2010,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34243785951,,,0
HS,2010,201008,August 2010,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41204997576,,,0
HS,2010,201009,September 2010,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33759431419,,,0
HS,2010,201001,January 2010,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34723188171,,,0
HS,2010,201009,September 2010,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40105844602,,,0
HS,2011,201101,January 2011,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36371221951,,,0
HS,2011,201101,January 2011,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42422303900,,,0
HS,2010,201004,April 2010,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34511190668,,,0
HS,2010,201004,April 2010,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39144065829,,,0
HS,2010,201002,February 2010,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29232088839,,,0
HS,2011,201103,March 2011,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42321921810,,,0
HS,2011,201103,March 2011,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,46046662154,,,0
HS,2011,201102,February 2011,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31368364620,,,0
HS,2010,201005,May 2010,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31748444958,,,0
HS,2011,201102,February 2011,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36168276725,,,0
HS,2010,201006,June 2010,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35421050300,,,0
HS,2010,201002,February 2010,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31372218423,,,0
HS,2010,201005,May 2010,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37301969011,,,0
HS,2010,201006,June 2010,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39613863202,,,0
HS,2011,201108,August 2011,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41756139076,,,0
HS,2010,201007,July 2010,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37342374965,,,0
HS,2011,201108,August 2011,0,0,2,Exports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,44378258425,,,0
HS,2011,201104,April 2011,0,0,1,Imports,702,Singapore,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,38138765057,,,0
