Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201012,December 2010,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5784989701,,,0
HS,2011,201107,July 2011,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6074801903,,,0
HS,2011,201106,June 2011,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6822077764,,,0
HS,2010,201010,October 2010,0,0,4,Re-imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32617158,,,0
HS,2010,201010,October 2010,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6788877172,,,0
HS,2011,201110,October 2011,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7085771139,,,0
HS,2010,201009,September 2010,0,0,4,Re-imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24376754,,,0
HS,2010,201009,September 2010,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6007201784,,,0
HS,2011,201110,October 2011,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7459760621,,,0
HS,2010,201009,September 2010,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6056930816,,,0
HS,2010,201011,November 2010,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6826047568,,,0
HS,2010,201011,November 2010,0,0,4,Re-imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,38944800,,,0
HS,2011,201105,May 2011,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7231089179,,,0
HS,2011,201105,May 2011,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7001007443,,,0
HS,2010,201008,August 2010,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5020710901,,,0
HS,2010,201005,May 2010,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4771978271,,,0
HS,2010,201005,May 2010,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5050893443,,,0
HS,2010,201007,July 2010,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5043928694,,,0
HS,2011,201108,August 2011,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6410156572,,,0
HS,2011,201103,March 2011,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7044629906,,,0
HS,2010,201004,April 2010,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5274498375,,,0
HS,2011,201111,November 2011,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7216162282,,,0
HS,2011,201112,December 2011,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5888936484,,,0
HS,2011,201102,February 2011,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6007005357,,,0
HS,2011,201101,January 2011,0,0,4,Re-imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31034923,,,0
HS,2010,201001,January 2010,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4426899146,,,0
HS,2012,201202,February 2012,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6386476943,,,0
HS,2012,201210,October 2012,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7316945545,,,0
HS,2012,201206,June 2012,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6138834036,,,0
HS,2012,201207,July 2012,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6119123310,,,0
HS,2012,201207,July 2012,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5787722149,,,0
HS,2012,201208,August 2012,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6160013632,,,0
HS,2012,201201,January 2012,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5655579666,,,0
HS,2012,201201,January 2012,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5793093450,,,0
HS,2016,201603,March 2016,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6253663352,,,0
HS,2016,201603,March 2016,0,0,4,Re-imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,97560083,,,0
HS,2013,201304,April 2013,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7153447680,,,0
HS,2016,201604,April 2016,0,0,4,Re-imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,89819841,,,0
HS,2016,201605,May 2016,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6596730206,,,0
HS,2013,201301,January 2013,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6244655234,,,0
HS,2016,201607,July 2016,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5200461682,,,0
HS,2012,201203,March 2012,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6983613387,,,0
HS,2015,201502,February 2015,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5812428291,,,0
HS,2012,201202,February 2012,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6449715605,,,0
HS,2013,201311,November 2013,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7888719950,,,0
HS,2014,201401,January 2014,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6609414772,,,0
HS,2015,201509,September 2015,0,0,4,Re-imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,37320555,,,0
HS,2014,201410,October 2014,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7260548304,,,0
HS,2014,201408,August 2014,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5972369111,,,0
HS,2014,201405,May 2014,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7612164794,,,0
HS,2014,201405,May 2014,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6853669892,,,0
HS,2017,201710,October 2017,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8096174390,,,0
HS,2015,201501,January 2015,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5629813898,,,0
HS,2015,201508,August 2015,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5396110692,,,0
HS,2015,201508,August 2015,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5367250638,,,0
HS,2015,201507,July 2015,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5905264379,,,0
HS,2015,201506,June 2015,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6440495655,,,0
HS,2016,201611,November 2016,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7148928164,,,0
HS,2015,201510,October 2015,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6891139099,,,0
HS,2016,201602,February 2016,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6241139313,,,0
HS,2019,201901,January 2019,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7689552729,,,0
HS,2021,202108,August 2021,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7770536212,,,0
HS,2021,202108,August 2021,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7460824354,,,0
HS,2016,201606,June 2016,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6432490170,,,0
HS,2016,201606,June 2016,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6918060863,,,0
HS,2017,201704,April 2017,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6046420372,,,0
HS,2015,201505,May 2015,0,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5778046495,,,0
HS,2014,201409,September 2014,0,0,4,Re-imports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,39775167,,,0
HS,2014,201409,September 2014,0,0,2,Exports,703,Slovakia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7387456481,,,0
