Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201003,March 2010,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2248696154,,,0
HS,2010,201005,May 2010,0,0,4,Re-imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9147298,,,0
HS,2011,201103,March 2011,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2646858982,,,0
HS,2011,201101,January 2011,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2065012263,,,0
HS,2010,201010,October 2010,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2289409689,,,0
HS,2011,201108,August 2011,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2138711146,,,0
HS,2011,201105,May 2011,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2650943283,,,0
HS,2010,201004,April 2010,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1969767248,,,0
HS,2013,201301,January 2013,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2472722106,,,0
HS,2013,201303,March 2013,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2481925570,,,0
HS,2013,201304,April 2013,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2502697713,,,0
HS,2013,201306,June 2013,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2348361856,,,0
HS,2013,201311,November 2013,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2658138992,,,0
HS,2021,202105,May 2021,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4180114746,,,0
HS,2018,201812,December 2018,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2749552872,,,0
HS,2021,202104,April 2021,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3939023262,,,0
HS,2021,202104,April 2021,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3858762805,,,0
HS,2019,201908,August 2019,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2587824602,,,0
HS,2016,201609,September 2016,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2662441452,,,0
HS,2019,201903,March 2019,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3238939189,,,0
HS,2019,201903,March 2019,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3264904326,,,0
HS,2017,201712,December 2017,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2641517697,,,0
HS,2017,201709,September 2017,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3077331730,,,0
HS,2017,201708,August 2017,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2463410246,,,0
HS,2019,201905,May 2019,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3187699449,,,0
HS,2019,201905,May 2019,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3325646602,,,0
HS,2017,201705,May 2017,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2646265237,,,0
HS,2020,202008,August 2020,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2749708783,,,0
HS,2018,201804,April 2018,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2950781647,,,0
HS,2020,202008,August 2020,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2601596747,,,0
HS,2021,202102,February 2021,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3338677370,,,0
HS,2020,202007,July 2020,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3350175959,,,0
HS,2020,202005,May 2020,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2647150612,,,0
HS,2020,202005,May 2020,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2453405590,,,0
HS,2020,202006,June 2020,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2919799476,,,0
HS,2018,201806,June 2018,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3044992953,,,0
HS,2018,201810,October 2018,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3407225894,,,0
HS,2017,201711,November 2017,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3041865607,,,0
HS,2021,202107,July 2021,0,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4095603248,,,0
HS,2020,202002,February 2020,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3055355572,,,0
HS,2017,201703,March 2017,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2657993094,,,0
HS,2019,201906,June 2019,0,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3039644052,,,0
