Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201510,October 2015,0,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39341289,,,0
HS,2015,201512,December 2015,0,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45450438,,,0
HS,2016,201603,March 2016,0,0,3,Re-exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,145134,,,0
HS,2016,201608,August 2016,0,0,1,Imports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39338721,,,0
HS,2015,201501,January 2015,0,0,1,Imports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33019074,,,0
HS,2015,201501,January 2015,0,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23517286,,,0
HS,2015,201501,January 2015,0,0,3,Re-exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,103877,,,0
HS,2015,201502,February 2015,0,0,1,Imports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36000343,,,0
HS,2015,201502,February 2015,0,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39741385,,,0
HS,2015,201502,February 2015,0,0,3,Re-exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,80433,,,0
HS,2015,201503,March 2015,0,0,1,Imports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,47305896,,,0
HS,2015,201503,March 2015,0,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32670661,,,0
HS,2015,201503,March 2015,0,0,3,Re-exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,71231,,,0
HS,2015,201504,April 2015,0,0,1,Imports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,48467481,,,0
HS,2015,201504,April 2015,0,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35272293,,,0
HS,2015,201504,April 2015,0,0,3,Re-exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,460857,,,0
HS,2015,201505,May 2015,0,0,1,Imports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40798763,,,0
HS,2015,201505,May 2015,0,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42034880,,,0
HS,2015,201505,May 2015,0,0,3,Re-exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,98145,,,0
HS,2015,201506,June 2015,0,0,1,Imports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18085813,,,0
HS,2015,201506,June 2015,0,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10897375,,,0
HS,2015,201506,June 2015,0,0,3,Re-exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,48737,,,0
HS,2015,201507,July 2015,0,0,1,Imports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43457788,,,0
HS,2015,201507,July 2015,0,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23766446,,,0
