Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201102,February 2011,0,0,1,Imports,710,South Africa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7600240643,,,0
HS,2011,201102,February 2011,0,0,2,Exports,710,South Africa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8050403527,,,0
HS,2011,201105,May 2011,0,0,1,Imports,710,South Africa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8715989020,,,0
HS,2011,201105,May 2011,0,0,2,Exports,710,South Africa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8982011669,,,0
HS,2011,201103,March 2011,0,0,2,Exports,710,South Africa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9598103594,,,0
HS,2011,201106,June 2011,0,0,1,Imports,710,South Africa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8460049088,,,0
HS,2011,201101,January 2011,0,0,1,Imports,710,South Africa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7370221644,,,0
HS,2010,201007,July 2010,0,0,1,Imports,710,South Africa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7419929616,,,0
HS,2010,201007,July 2010,0,0,2,Exports,710,South Africa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7475448362,,,0
HS,2010,201012,December 2010,0,0,1,Imports,710,South Africa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6596226515,,,0
HS,2011,201109,September 2011,0,0,1,Imports,710,South Africa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8963828382,,,0
HS,2011,201109,September 2011,0,0,2,Exports,710,South Africa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10018634953,,,0
HS,2011,201109,September 2011,0,0,3,Re-exports,710,South Africa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37838342,,,0
HS,2011,201109,September 2011,0,0,4,Re-imports,710,South Africa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29023538,,,0
HS,2011,201110,October 2011,0,0,1,Imports,710,South Africa,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9191867339,,,0
