Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201105,May 2011,0,0,3,Re-exports,275,State of Palestine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15653584,,,0
HS,2011,201106,June 2011,0,0,3,Re-exports,275,State of Palestine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13036367,,,0
HS,2017,201704,April 2017,0,0,1,Imports,275,State of Palestine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,466822950,,,0
HS,2017,201705,May 2017,0,0,2,Exports,275,State of Palestine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,103065487,,,0
HS,2018,201802,February 2018,0,0,2,Exports,275,State of Palestine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,89807607,,,0
HS,2018,201804,April 2018,0,0,1,Imports,275,State of Palestine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,574626060,,,0
HS,2018,201805,May 2018,0,0,1,Imports,275,State of Palestine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,575661357,,,0
HS,2018,201806,June 2018,0,0,1,Imports,275,State of Palestine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,474377751,,,0
HS,2018,201812,December 2018,0,0,1,Imports,275,State of Palestine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,552828619,,,0
HS,2011,201101,January 2011,0,0,1,Imports,275,State of Palestine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,321563032,,,0
HS,2011,201101,January 2011,0,0,2,Exports,275,State of Palestine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,57034225,,,0
