Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201008,August 2010,0,0,2,Exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,502957071,,,0
HS,2010,201008,August 2010,0,0,3,Re-exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1211966,,,0
HS,2014,201403,March 2014,0,0,1,Imports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,754903397,,,0
HS,2014,201404,April 2014,0,0,1,Imports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,763222822,,,0
HS,2017,201710,October 2017,0,0,1,Imports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,982851130,,,0
HS,2017,201711,November 2017,0,0,1,Imports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,855451187,,,0
HS,2017,201711,November 2017,0,0,2,Exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,366680046,,,0
HS,2017,201711,November 2017,0,0,3,Re-exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4919576,,,0
HS,2018,201812,December 2018,0,0,1,Imports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,935420864,,,0
HS,2018,201812,December 2018,0,0,2,Exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,356451645,,,0
HS,2010,201008,August 2010,0,0,1,Imports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1864263398,,,0
HS,2010,201009,September 2010,0,0,1,Imports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,676167538,,,0
HS,2010,201009,September 2010,0,0,2,Exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,114505412,,,0
HS,2010,201009,September 2010,0,0,3,Re-exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,370035,,,0
HS,2010,201010,October 2010,0,0,1,Imports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,693746569,,,0
HS,2010,201010,October 2010,0,0,2,Exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,169734298,,,0
HS,2010,201010,October 2010,0,0,3,Re-exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,232164,,,0
HS,2010,201011,November 2010,0,0,1,Imports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,638461086,,,0
HS,2010,201011,November 2010,0,0,2,Exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,357273199,,,0
HS,2010,201011,November 2010,0,0,3,Re-exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2201787,,,0
HS,2011,201108,August 2011,0,0,1,Imports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,727657731,,,0
HS,2011,201108,August 2011,0,0,2,Exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,570123277,,,0
HS,2011,201108,August 2011,0,0,3,Re-exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,34971,,,0
HS,2011,201109,September 2011,0,0,1,Imports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,810150874,,,0
HS,2011,201109,September 2011,0,0,2,Exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,319137622,,,0
HS,2011,201109,September 2011,0,0,3,Re-exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,69244,,,0
HS,2011,201110,October 2011,0,0,1,Imports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,884227759,,,0
HS,2011,201110,October 2011,0,0,2,Exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,280210131,,,0
HS,2011,201110,October 2011,0,0,3,Re-exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,317788,,,0
HS,2011,201111,November 2011,0,0,1,Imports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,665839536,,,0
HS,2011,201111,November 2011,0,0,2,Exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,55522661,,,0
HS,2011,201112,December 2011,0,0,1,Imports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,738823954,,,0
HS,2011,201112,December 2011,0,0,2,Exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,90625241,,,0
HS,2011,201112,December 2011,0,0,3,Re-exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,144104,,,0
HS,2012,201201,January 2012,0,0,1,Imports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,196963971,,,0
HS,2012,201201,January 2012,0,0,2,Exports,729,Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,19244890,,,0
