Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201511,November 2015,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12165870884,,,0
HS,2012,201203,March 2012,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15403033354,,,0
HS,2018,201809,September 2018,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13494132891,,,0
HS,2012,201204,April 2012,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13745776591,,,0
HS,2015,201503,March 2015,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12143211645,,,0
HS,2012,201208,August 2012,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13711380940,,,0
HS,2012,201209,September 2012,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13458155439,,,0
HS,2015,201506,June 2015,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12384842123,,,0
HS,2012,201210,October 2012,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14770150010,,,0
HS,2015,201509,September 2015,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12246342685,,,0
HS,2013,201307,July 2013,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12387998928,,,0
HS,2013,201311,November 2013,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13974627357,,,0
HS,2013,201312,December 2013,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13426399793,,,0
HS,2014,201401,January 2014,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13645029231,,,0
HS,2014,201406,June 2014,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13672475303,,,0
HS,2014,201404,April 2014,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14162042184,,,0
HS,2014,201405,May 2014,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14522684229,,,0
HS,2014,201409,September 2014,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14168274053,,,0
HS,2014,201410,October 2014,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14349369950,,,0
HS,2014,201411,November 2014,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12858197449,,,0
HS,2014,201412,December 2014,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11956346352,,,0
HS,2015,201501,January 2015,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10890917758,,,0
HS,2015,201508,August 2015,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10740358946,,,0
HS,2015,201510,October 2015,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12780241568,,,0
HS,2016,201603,March 2016,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12182456133,,,0
HS,2016,201602,February 2016,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11162036570,,,0
HS,2016,201609,September 2016,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12341971044,,,0
HS,2018,201801,January 2018,0,0,2,Exports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14305821110,,,0
HS,2016,201611,November 2016,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12593291572,,,0
HS,2018,201807,July 2018,0,0,2,Exports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12296035965,,,0
HS,2017,201706,June 2017,0,0,2,Exports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13288291754,,,0
HS,2021,202110,October 2021,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16753554275,,,0
HS,2017,201702,February 2017,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11422630888,,,0
HS,2016,201610,October 2016,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12132054503,,,0
HS,2018,201803,March 2018,0,0,2,Exports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14850981408,,,0
HS,2017,201712,December 2017,0,0,2,Exports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13007307959,,,0
HS,2019,201909,September 2019,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13043314505,,,0
HS,2019,201909,September 2019,0,0,2,Exports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13194260921,,,0
HS,2016,201608,August 2016,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11626894620,,,0
HS,2018,201810,October 2018,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15972197304,,,0
HS,2018,201810,October 2018,0,0,2,Exports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15037758098,,,0
HS,2016,201606,June 2016,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12445733083,,,0
HS,2017,201703,March 2017,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13405680035,,,0
HS,2019,201905,May 2019,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13592302287,,,0
HS,2021,202103,March 2021,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16495827723,,,0
HS,2013,201305,May 2013,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13707629652,,,0
HS,2021,202109,September 2021,0,0,2,Exports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17019233674,,,0
HS,2020,202003,March 2020,0,0,1,Imports,752,Sweden,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12758958258,,,0
