Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201003,March 2010,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17665893654,,,0
HS,2011,201107,July 2011,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21022716622,,,0
HS,2014,201411,November 2014,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23639603547,,,0
HS,2012,201202,February 2012,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25739384708,,,0
HS,2012,201204,April 2012,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23096051557,,,0
HS,2012,201201,January 2012,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26010761061,,,0
HS,2013,201301,January 2013,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25502118277,,,0
HS,2012,201211,November 2012,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26443078506,,,0
HS,2013,201305,May 2013,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31983283992,,,0
HS,2013,201311,November 2013,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25437735694,,,0
HS,2013,201310,October 2013,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27812167416,,,0
HS,2021,202109,September 2021,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32189494822,,,0
HS,2013,201302,February 2013,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27253472988,,,0
HS,2017,201704,April 2017,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,20636796552,,,0
HS,2014,201412,December 2014,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,20919088400,,,0
HS,2015,201512,December 2015,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24610496910,,,0
HS,2015,201510,October 2015,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25089120638,,,0
HS,2016,201606,June 2016,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26552031838,,,0
HS,2019,201902,February 2019,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23778975710,,,0
HS,2017,201704,April 2017,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21991817499,,,0
HS,2017,201710,October 2017,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,22611630097,,,0
HS,2020,202004,April 2020,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24444530241,,,0
HS,2019,201905,May 2019,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23573063625,,,0
HS,2018,201803,March 2018,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27655078647,,,0
HS,2018,201806,June 2018,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27375412122,,,0
HS,2019,201909,September 2019,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27654529146,,,0
HS,2019,201904,April 2019,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26576085968,,,0
HS,2019,201904,April 2019,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,22384063447,,,0
HS,2019,201903,March 2019,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26084826037,,,0
HS,2019,201908,August 2019,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26990080457,,,0
HS,2019,201912,December 2019,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,22579303137,,,0
HS,2020,202009,September 2020,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26763213729,,,0
HS,2020,202009,September 2020,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,28041647420,,,0
HS,2021,202104,April 2021,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31445833747,,,0
HS,2016,201611,November 2016,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23747005842,,,0
HS,2021,202110,October 2021,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33824213000,,,0
HS,2021,202101,January 2021,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27630003987,,,0
HS,2021,202101,January 2021,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,22322728469,,,0
HS,2021,202106,June 2021,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33502731666,,,0
HS,2021,202108,August 2021,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29988925043,,,0
HS,2018,201808,August 2018,0,0,1,Imports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23108692559,,,0
HS,2020,202001,January 2020,0,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27000294127,,,0
