Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201507,July 2015,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17452043853,,,0
HS,2017,201703,March 2017,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19091478983,,,0
HS,2015,201508,August 2015,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16947511742,,,0
HS,2015,201503,March 2015,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18870341531,,,0
HS,2016,201605,May 2016,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17697173092,,,0
HS,2016,201609,September 2016,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19437923964,,,0
HS,2018,201802,February 2018,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19468915798,,,0
HS,2016,201610,October 2016,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17501632399,,,0
HS,2016,201610,October 2016,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17756856240,,,0
HS,2019,201901,January 2019,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23017846658,,,0
HS,2018,201801,January 2018,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,20190954188,,,0
HS,2017,201710,October 2017,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19811565102,,,0
HS,2016,201612,December 2016,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18172222919,,,0
HS,2016,201612,December 2016,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17168783627,,,0
HS,2015,201506,June 2015,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18151802890,,,0
HS,2015,201502,February 2015,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16838432041,,,0
HS,2015,201505,May 2015,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18425504406,,,0
HS,2018,201807,July 2018,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,20937042424,,,0
HS,2018,201809,September 2018,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,20210346411,,,0
HS,2018,201803,March 2018,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,22540127291,,,0
HS,2015,201501,January 2015,0,0,3,Re-exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6592993,,,0
HS,2017,201706,June 2017,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18226536095,,,0
HS,2015,201508,August 2015,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17667960188,,,0
HS,2015,201511,November 2015,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17162741440,,,0
HS,2015,201512,December 2015,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17088027145,,,0
HS,2015,201507,July 2015,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18206212964,,,0
HS,2016,201602,February 2016,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14007472488,,,0
HS,2016,201604,April 2016,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15609268418,,,0
HS,2016,201604,April 2016,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14827613916,,,0
HS,2016,201605,May 2016,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16054267498,,,0
HS,2016,201603,March 2016,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16159815727,,,0
HS,2016,201603,March 2016,0,0,3,Re-exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,127255366,,,0
HS,2016,201611,November 2016,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17299947647,,,0
HS,2019,201907,July 2019,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21204966966,,,0
HS,2019,201904,April 2019,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18555608694,,,0
HS,2019,201904,April 2019,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,20012665123,,,0
HS,2019,201907,July 2019,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21093866609,,,0
HS,2010,201005,May 2010,0,0,2,Exports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16445765695,,,0
HS,2010,201005,May 2010,0,0,1,Imports,764,Thailand,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16445765695,,,0
