Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2009,200910,October 2009,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,38639581,,,0
HS,2009,200910,October 2009,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12222513,,,0
HS,2010,201006,June 2010,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,18672172,,,0
HS,2010,201007,July 2010,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,54932478,,,0
HS,2010,201007,July 2010,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17808811,,,0
HS,2010,201009,September 2010,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,46977943,,,0
HS,2010,201009,September 2010,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,19230409,,,0
HS,2010,201010,October 2010,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,23091295,,,0
HS,2010,201012,December 2010,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,43271079,,,0
HS,2011,201106,June 2011,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,114493923,,,0
HS,2011,201110,October 2011,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,20866972,,,0
HS,2013,201304,April 2013,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,66892757,,,0
HS,2013,201308,August 2013,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,59463332,,,0
HS,2013,201308,August 2013,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,19618597,,,0
HS,2013,201310,October 2013,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,215564312,,,0
HS,2013,201312,December 2013,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,38664071,,,0
HS,2014,201401,January 2014,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,182922013,,,0
HS,2014,201402,February 2014,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,20421449,,,0
HS,2014,201411,November 2014,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,54607469,,,0
HS,2014,201412,December 2014,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,85775765,,,0
HS,2014,201412,December 2014,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,25079465,,,0
HS,2015,201511,November 2015,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,61431387,,,0
HS,2015,201511,November 2015,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15195221,,,0
HS,2016,201602,February 2016,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,135847095,,,0
HS,2016,201608,August 2016,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,127614504,,,0
HS,2016,201609,September 2016,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,102840778,,,0
HS,2017,201702,February 2017,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,100909296,,,0
HS,2017,201707,July 2017,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,142842663,,,0
HS,2017,201708,August 2017,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,130194567,,,0
HS,2017,201710,October 2017,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,70630627,,,0
HS,2017,201711,November 2017,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,62254311,,,0
HS,2018,201801,January 2018,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,154083346,,,0
HS,2018,201808,August 2018,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,132313703,,,0
HS,2018,201809,September 2018,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,141306624,,,0
HS,2008,200801,January 2008,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,203761443,,,0
HS,2008,200801,January 2008,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,28830639,,,0
HS,2008,200801,January 2008,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,8607902,,,0
HS,2008,200801,January 2008,0,0,4,Re-imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4936,,,0
HS,2008,200802,February 2008,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,148488363,,,0
HS,2018,201812,December 2018,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,137205759,,,0
HS,2008,200802,February 2008,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,53903379,,,0
HS,2008,200802,February 2008,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10306470,,,0
HS,2008,200802,February 2008,0,0,4,Re-imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,58629,,,0
HS,2008,200803,March 2008,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,95716018,,,0
HS,2008,200803,March 2008,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,45799445,,,0
HS,2008,200803,March 2008,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,18679371,,,0
HS,2008,200804,April 2008,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,162997021,,,0
HS,2008,200804,April 2008,0,0,2,Exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,47994747,,,0
HS,2008,200804,April 2008,0,0,3,Re-exports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14072979,,,0
HS,2008,200805,May 2008,0,0,1,Imports,768,Togo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,132486416,,,0
